"game_id","game_date","away_team","home_team","away_score","home_score","winner","ck"
"563411","2018/10/28","BOS","LAD","5","1","0","0"
"568310","2019/02/22","PHI","TB","3","2","0","0"
"568403","2019/02/22","NEU","BOS","0","6","1","0"
"568440","2019/02/22","SEU","DET","2","13","0","0"
"566356","2019/02/22","OAK","SEA","1","8","1","0"
"564914","2019/02/23","MIN","BAL","2","7","1","0"
"567043","2019/02/23","PIT","PHI","3","2","0","0"
"567344","2019/02/23","STL","MIA","11","1","0","0"
"565011","2019/02/23","NYY","BOS","5","8","1","0"
"566849","2019/02/23","DET","TOR","4","0","0","0"
"565976","2019/02/23","ATL","NYM","3","4","1","0"
"565205","2019/02/23","CLE","CIN","3","3","0","0"
"565687","2019/02/23","TEX","KC","1","9","1","0"
"567248","2019/02/23","LAD","CWS","7","6","0","0"
"566072","2019/02/23","CWS","OAK","5","6","1","0"
"565108","2019/02/23","MIL","CHC","4","8","1","0"
"564815","2019/02/23","COL","ARI","7","3","0","0"
"566357","2019/02/23","SD","SEA","6","4","0","0"
"564687","2019/02/23","SF","LAA","3","10","0","0"
"566945","2019/02/23","TB","MIN","5","10","0","0"
"565880","2019/02/23","HOU","WSH","6","7","1","0"
"566552","2019/02/24","WSH","STL","12","2","1","0"
"564915","2019/02/24","TOR","BAL","8","9","1","0"
"565012","2019/02/24","MIN","BOS","5","8","1","0"
"565494","2019/02/24","PHI","DET","10","6","1","0"
"565591","2019/02/24","ATL","HOU","2","5","1","0"
"566165","2019/02/24","MIA","PIT","6","10","0","0"
"566648","2019/02/24","NYY","TB","8","5","0","0"
"565977","2019/02/24","HOU","NYM","10","1","0","0"
"565301","2019/02/24","ARI","CLE","12","3","1","0"
"566073","2019/02/24","KC","OAK","14","5","1","0"
"566453","2019/02/24","CHC","SF","9","5","0","0"
"565783","2019/02/24","LAA","LAD","9","13","0","0"
"564688","2019/02/24","CIN","LAA","14","2","1","0"
"565397","2019/02/24","SEA","COL","4","2","0","0"
"566261","2019/02/24","CWS","SD","4","5","1","0"
"566745","2019/02/24","MIL","TEX","10","1","0","0"
"565592","2019/02/25","NYM","HOU","3","3","0","0"
"566166","2019/02/25","BOS","PIT","3","4","1","0"
"566859","2019/03/16","BAL","TOR","4","3","0","0"
"566553","2019/02/25","DET","STL","3","3","0","0"
"566946","2019/02/25","BAL","MIN","1","7","1","0"
"567044","2019/02/25","DET","PHI","7","12","0","0"
"567140","2019/02/25","WSH","ATL","4","9","1","0"
"564719","2019/02/25","MIL","LAA","3","4","1","0"
"566649","2019/02/25","MIA","TB","5","2","0","0"
"567440","2019/02/25","TOR","NYY","0","3","1","0"
"565688","2019/02/25","COL","KC","12","5","1","0"
"565784","2019/02/25","CHC","LAD","2","11","0","0"
"565109","2019/02/25","SD","CHC","4","6","1","0"
"565302","2019/02/25","TEX","CLE","11","5","1","0"
"566454","2019/02/25","CWS","SF","4","4","0","0"
"564816","2019/02/25","OAK","ARI","3","4","1","0"
"566358","2019/02/25","CIN","SEA","3","11","0","0"
"565987","2019/03/21","MIA","NYM","0","6","1","0"
"565881","2019/02/26","STL","WSH","6","1","0","0"
"564916","2019/02/26","TB","BAL","11","5","1","0"
"566947","2019/02/26","PIT","MIN","5","6","1","0"
"567141","2019/02/26","NYM","ATL","3","4","1","0"
"567345","2019/02/26","HOU","MIA","0","3","1","0"
"565978","2019/02/26","DET","NYM","14","4","1","0"
"565110","2019/02/26","ARI","CHC","5","4","0","0"
"565689","2019/02/26","LAD","KC","2","8","1","0"
"566074","2019/02/26","LAA","OAK","17","5","1","0"
"565206","2019/02/26","SF","CIN","4","3","0","0"
"567249","2019/02/26","KC","CWS","7","9","1","0"
"567537","2019/02/26","SD","MIL","3","1","0","0"
"565398","2019/02/26","CLE","COL","5","3","0","0"
"566359","2019/02/26","TEX","SEA","4","4","0","0"
"565013","2019/02/27","BAL","BOS","7","6","0","0"
"565882","2019/02/27","HOU","WSH","8","14","0","0"
"566650","2019/02/27","BOS","TB","4","5","1","0"
"566167","2019/02/27","TOR","PIT","2","1","0","0"
"567045","2019/02/27","MIN","PHI","4","2","0","0"
"566554","2019/02/27","ATL","STL","4","0","0","0"
"565495","2019/02/27","NYY","DET","4","10","0","0"
"565979","2019/02/27","MIA","NYM","6","14","0","0"
"566075","2019/02/27","LAD","OAK","5","3","0","0"
"565303","2019/02/27","SEA","CLE","5","6","1","0"
"566455","2019/02/27","KC","SF","2","15","0","0"
"566746","2019/02/27","CHC","TEX","9","5","0","0"
"567250","2019/02/27","CIN","CWS","11","4","1","0"
"567538","2019/02/27","CLE","MIL","6","1","0","0"
"565399","2019/02/27","LAA","COL","9","7","0","0"
"566262","2019/02/27","ARI","SD","5","5","0","0"
"565014","2019/02/28","WSH","BOS","5","13","0","0"
"566555","2019/02/28","NYM","STL","3","2","0","0"
"567046","2019/02/28","BAL","PHI","5","5","0","0"
"567142","2019/02/28","DET","ATL","7","6","0","0"
"564829","2019/03/21","LAA","ARI","2","1","0","0"
"565593","2019/02/28","MIA","HOU","5","7","1","0"
"567442","2019/02/28","PIT","NYY","6","8","1","0"
"566851","2019/02/28","PHI","TOR","11","5","1","0"
"565785","2019/02/28","COL","LAD","7","7","0","0"
"565111","2019/02/28","OAK","CHC","10","3","1","0"
"565690","2019/02/28","SD","KC","2","3","1","0"
"565207","2019/02/28","MIL","CIN","10","8","1","0"
"567539","2019/02/28","SF","MIL","6","2","0","0"
"564817","2019/02/28","CLE","ARI","7","10","0","0"
"567145","2019/03/04","HOU","ATL","4","3","0","0"
"564720","2019/02/28","TEX","LAA","10","6","1","0"
"566360","2019/02/28","CWS","SEA","3","8","1","0"
"566651","2019/02/28","MIN","TB","0","1","1","0"
"565496","2019/03/01","NYM","DET","7","1","0","0"
"567445","2019/03/05","ATL","NYY","1","5","1","0"
"564917","2019/03/01","TB","BAL","10","5","1","0"
"566948","2019/03/01","BOS","MIN","3","4","1","0"
"567047","2019/03/01","PIT","PHI","3","7","1","0"
"567143","2019/03/01","TOR","ATL","3","4","1","0"
"567346","2019/03/01","WSH","MIA","5","4","0","0"
"566852","2019/03/01","PIT","TOR","1","1","0","0"
"566076","2019/03/01","COL","OAK","3","6","1","0"
"566747","2019/03/01","CWS","TEX","8","5","0","0"
"564818","2019/03/01","CHC","ARI","10","2","1","0"
"564721","2019/03/01","KC","LAA","7","10","0","0"
"566361","2019/03/01","MIL","SEA","3","7","1","0"
"565594","2019/03/01","STL","HOU","4","4","0","0"
"567443","2019/03/01","BAL","NYY","2","2","0","0"
"565304","2019/03/01","LAD","CLE","4","8","1","0"
"565412","2019/03/23","CHC","COL","6","11","0","0"
"565786","2019/03/01","SD","LAD","5","4","0","0"
"566456","2019/03/01","CIN","SF","3","5","1","0"
"565015","2019/03/02","BAL","BOS","9","1","0","0"
"565883","2019/03/02","MIN","WSH","6","10","0","0"
"566652","2019/03/02","PHI","TB","11","3","1","0"
"565497","2019/03/02","ATL","DET","4","7","1","0"
"566556","2019/03/02","MIA","STL","3","4","1","0"
"566168","2019/03/02","NYY","PIT","7","8","1","0"
"566853","2019/03/02","TB","TOR","6","5","0","0"
"565884","2019/03/03","HOU","WSH","2","4","1","0"
"565980","2019/03/02","HOU","NYM","8","7","0","0"
"565208","2019/03/02","LAA","CIN","11","2","1","0"
"566077","2019/03/02","CLE","OAK","0","1","1","0"
"565691","2019/03/02","SEA","KC","0","8","1","0"
"566457","2019/03/02","TEX","SF","0","0","0","0"
"567251","2019/03/02","COL","CWS","6","10","0","0"
"565112","2019/03/02","MIL","CHC","7","4","0","0"
"564819","2019/03/02","LAD","ARI","5","6","1","0"
"566263","2019/03/02","SF","SD","6","7","1","0"
"568304","2019/03/05","USF","TB","2","7","1","0"
"566557","2019/03/03","NYM","STL","10","8","1","0"
"566169","2019/03/03","TB","PIT","10","4","1","0"
"565016","2019/03/03","MIN","BOS","7","9","1","0"
"566949","2019/03/03","PHI","MIN","3","3","0","0"
"565787","2019/03/03","TEX","LAD","3","6","1","0"
"567144","2019/03/03","MIA","ATL","5","6","1","0"
"567444","2019/03/03","DET","NYY","1","7","1","0"
"566854","2019/03/03","NYY","TOR","2","5","1","0"
"564918","2019/03/03","DET","BAL","5","7","1","0"
"565305","2019/03/03","KC","CLE","13","7","1","0"
"566748","2019/03/03","SD","TEX","3","11","0","0"
"565113","2019/03/03","CWS","CHC","4","13","0","0"
"567540","2019/03/03","CIN","MIL","11","5","1","0"
"564722","2019/03/03","OAK","LAA","1","4","1","0"
"566566","2019/03/24","MIA","STL","1","2","1","0"
"566362","2019/03/03","ARI","SEA","3","7","1","0"
"565400","2019/03/03","SF","COL","3","9","1","0"
"565595","2019/03/04","NYM","HOU","7","4","0","0"
"565498","2019/03/04","STL","DET","5","9","1","0"
"566950","2019/03/04","BAL","MIN","9","4","0","0"
"567347","2019/03/04","WSH","MIA","8","9","1","0"
"565981","2019/03/04","BOS","NYM","9","3","0","0"
"565209","2019/03/04","CHC","CIN","9","1","0","0"
"566458","2019/03/04","LAD","SF","8","2","0","0"
"566749","2019/03/04","COL","TEX","4","4","0","0"
"567252","2019/03/04","LAA","CWS","6","6","0","0"
"564820","2019/03/04","CIN","ARI","3","3","0","0"
"566264","2019/03/04","CLE","SD","0","8","1","0"
"565885","2019/03/05","BOS","WSH","8","4","0","0"
"566078","2019/03/05","TEX","OAK","1","4","1","0"
"564919","2019/03/05","PIT","BAL","10","4","1","0"
"565499","2019/03/05","TOR","DET","5","2","0","0"
"566951","2019/03/05","TB","MIN","2","9","1","0"
"567048","2019/03/05","STL","PHI","1","2","1","0"
"567348","2019/03/05","NYM","MIA","1","3","1","0"
"565306","2019/03/05","CWS","CLE","0","11","1","0"
"567253","2019/03/05","SD","CWS","7","4","0","0"
"564723","2019/03/05","CHC","LAA","2","9","1","0"
"566265","2019/03/05","SEA","SD","7","7","0","0"
"565401","2019/03/05","MIL","COL","1","0","0","0"
"565692","2019/03/05","ARI","KC","3","5","1","0"
"565017","2019/03/06","PIT","BOS","6","1","0","0"
"566653","2019/03/06","BAL","TB","9","6","0","0"
"567146","2019/03/06","DET","ATL","2","8","1","0"
"566363","2019/03/06","OAK","SEA","7","4","0","0"
"565596","2019/03/06","MIA","HOU","5","11","0","0"
"567349","2019/03/06","ATL","MIA","4","0","0","0"
"567446","2019/03/06","STL","NYY","9","5","0","0"
"566855","2019/03/06","PHI","TOR","7","9","1","0"
"565114","2019/03/06","KC","CHC","1","4","1","0"
"566750","2019/03/06","SF","TEX","5","12","0","0"
"567541","2019/03/06","ARI","MIL","4","5","1","0"
"565402","2019/03/06","LAA","COL","6","5","0","0"
"565210","2019/03/06","SD","CIN","4","6","1","0"
"565788","2019/03/06","CLE","LAD","6","1","0","0"
"565886","2019/03/07","NYM","WSH","4","6","1","0"
"566170","2019/03/07","BAL","PIT","4","5","1","0"
"566654","2019/03/07","TOR","TB","11","2","1","0"
"565018","2019/03/07","MIN","BOS","12","1","0","0"
"565500","2019/03/07","PHI","DET","3","1","0","0"
"567350","2019/03/07","HOU","MIA","4","1","0","0"
"567049","2019/03/07","NYY","PHI","6","0","0","0"
"565115","2019/03/07","COL","CHC","7","5","0","0"
"565693","2019/03/07","LAA","KC","7","8","1","0"
"567254","2019/03/07","MIL","CWS","5","9","1","0"
"564821","2019/03/07","CLE","ARI","4","3","0","0"
"564724","2019/03/07","LAD","LAA","6","2","0","0"
"566266","2019/03/07","TEX","SD","8","11","0","0"
"565211","2019/03/07","SEA","CIN","11","3","1","0"
"566459","2019/03/07","OAK","SF","5","1","0","0"
"564920","2019/03/08","BOS","BAL","2","4","1","0"
"566558","2019/03/08","WSH","STL","2","3","1","0"
"566171","2019/03/08","TOR","PIT","11","0","0","0"
"566952","2019/03/08","TB","MIN","5","5","0","0"
"566856","2019/03/08","PIT","TOR","2","5","1","0"
"565982","2019/03/08","MIA","NYM","10","3","1","0"
"567542","2019/03/08","ARI","MIL","3","6","1","0"
"565694","2019/03/08","CIN","KC","3","8","1","0"
"566079","2019/03/08","SD","OAK","5","6","1","0"
"565403","2019/03/08","TEX","COL","10","11","1","0"
"564725","2019/03/08","CWS","LAA","15","8","1","0"
"565597","2019/03/08","STL","HOU","6","3","0","0"
"567147","2019/03/08","PHI","ATL","4","5","1","0"
"567447","2019/03/08","DET","NYY","6","5","0","0"
"565307","2019/03/08","SF","CLE","2","0","0","0"
"566364","2019/03/08","CHC","SEA","9","3","0","0"
"565789","2019/03/08","KC","LAD","7","4","0","0"
"565019","2019/03/09","NYM","BOS","10","2","1","0"
"566559","2019/03/09","HOU","STL","9","3","0","0"
"566655","2019/03/09","BAL","TB","17","15","0","0"
"566172","2019/03/09","MIN","PIT","10","1","0","0"
"567050","2019/03/09","TOR","PHI","8","7","0","0"
"565501","2019/03/09","ATL","DET","6","4","0","0"
"565887","2019/03/09","MIA","WSH","2","1","0","0"
"565116","2019/03/09","LAA","CHC","4","11","0","0"
"565308","2019/03/09","COL","CLE","1","7","1","0"
"565790","2019/03/09","SEA","LAD","0","2","1","0"
"566460","2019/03/09","CHC","SF","8","0","0","0"
"565404","2019/03/09","ARI","COL","1","5","1","0"
"566751","2019/03/09","CWS","TEX","12","2","1","0"
"566080","2019/03/09","MIL","OAK","11","2","1","0"
"564822","2019/03/09","KC","ARI","5","13","0","0"
"585915","2019/03/09","MIL","LAA","5","1","0","0"
"564921","2019/03/09","NYY","BAL","6","1","0","0"
"566267","2019/03/09","CIN","SD","2","6","1","0"
"565598","2019/03/10","WSH","HOU","6","4","0","0"
"566656","2019/03/10","BOS","TB","1","8","1","0"
"566953","2019/03/10","TOR","MIN","10","1","0","0"
"564922","2019/03/10","PHI","BAL","8","5","0","0"
"567351","2019/03/10","ATL","MIA","2","5","1","0"
"565502","2019/03/10","NYY","DET","2","2","0","0"
"567448","2019/03/10","PIT","NYY","5","6","1","0"
"565983","2019/03/10","STL","NYM","1","9","1","0"
"565212","2019/03/10","ARI","CIN","3","2","0","0"
"565695","2019/03/10","SD","KC","11","6","1","0"
"566081","2019/03/10","SF","OAK","4","5","1","0"
"566461","2019/03/10","TEX","SF","7","6","0","0"
"567255","2019/03/10","OAK","CWS","7","6","0","0"
"567543","2019/03/10","CHC","MIL","5","7","1","0"
"565405","2019/03/10","LAD","COL","3","1","0","0"
"564726","2019/03/10","SEA","LAA","9","9","0","0"
"566365","2019/03/10","CLE","SEA","16","2","1","0"
"564823","2019/03/10","COL","ARI","2","5","1","0"
"565599","2019/03/11","NYM","HOU","3","6","1","0"
"566560","2019/03/11","WSH","STL","2","3","1","0"
"566954","2019/03/11","DET","MIN","3","0","0","0"
"567051","2019/03/11","TB","PHI","8","2","0","0"
"567148","2019/03/11","PIT","ATL","2","6","1","0"
