,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718040,656775,3.5462,0.2491,0.124,0.3246,0.7226,0.6194,0.398,0.7901,3.96,0.3883,0.34,0.436,1.256,0.93,0.82,0.32
1,,Away Batter 2,718040,668939,3.2203,0.2696,0.127,0.3963,0.8477,0.4571,0.4514,0.6546,3.61,0.2242,0.17,0.3597,0.7863,0.45,0.4267,0.57
2,,Away Batter 3,718040,663624,3.7642,0.2809,0.1946,0.3081,0.8237,0.6661,0.5156,0.8703,3.74,0.205,0.17,0.258,0.738,0.65,0.48,1.13
3,,Away Batter 4,718040,623993,3.5087,0.2339,0.1563,0.3196,0.7434,0.5543,0.4238,0.9409,3.55,0.2242,0.25,0.351,0.8693,0.53,0.5183,1.03
4,,Away Batter 5,718040,669720,3.4454,0.2784,0.1751,0.326,0.8248,0.5003,0.4988,0.8471,3.81,0.305,0.09,0.3285,0.7935,0.29,0.465,0.86
5,,Away Batter 6,718040,624428,3.0942,0.2297,0.0669,0.2965,0.6494,0.2945,0.353,0.3627,3.69,0.3228,0.16,0.3618,0.8912,0.6,0.5293,0.26
6,,Away Batter 7,718040,543510,2.9921,0.1814,0.0203,0.2026,0.457,0.193,0.2544,0.6708,3.16,0.1158,0.06,0.1333,0.3292,0.14,0.1958,0.66
7,,Away Batter 8,718040,622761,2.9422,0.2734,0.1182,0.3176,0.7768,0.4292,0.4592,0.6823,3.34,0.0775,0.0,0.1357,0.2207,0.24,0.085,1.02
8,,Away Batter 9,718040,687401,2.2222,0.25,0.0,0.25,0.9444,0.6944,0.6944,0.0556,2.35,0.235,0.0,0.2483,0.5383,0.25,0.29,0.55
9,,Home Batter 1,718040,650402,3.4566,0.2483,0.1332,0.3082,0.7281,0.4237,0.4199,0.6684,3.95,0.284,0.14,0.3665,0.765,0.45,0.3985,0.56
10,,Home Batter 2,718040,592450,3.3026,0.3013,0.2377,0.3816,0.971,0.536,0.5894,1.0227,3.78,0.4175,0.67,0.503,1.596,1.53,1.093,1.11
11,,Home Batter 3,718040,519203,3.4075,0.2612,0.1502,0.3279,0.7564,0.4086,0.4285,0.8067,4.16,0.3335,0.37,0.3827,1.0507,1.05,0.668,1.29
12,,Home Batter 4,718040,518934,3.4446,0.2813,0.0918,0.3409,0.7378,0.3992,0.397,0.8424,3.84,0.1545,0.07,0.247,0.4765,0.27,0.2295,1.17
13,,Home Batter 5,718040,664056,2.9737,0.3303,0.1619,0.3675,0.9436,0.6906,0.5761,0.4965,3.52,0.2283,0.26,0.24,0.6775,0.74,0.4375,0.41
14,,Home Batter 6,718040,641343,2.1693,0.3234,0.0885,0.3926,0.8271,0.2552,0.4345,0.5625,2.36,0.2533,0.03,0.361,0.7793,0.09,0.4183,0.94
15,,Home Batter 7,718040,683011,2.3025,0.1541,0.0741,0.25,0.5111,0.1728,0.2611,0.7333,3.57,0.1948,0.23,0.2298,0.7222,0.66,0.4923,1.52
16,,Home Batter 8,718040,643396,2.8182,0.2036,0.0311,0.2891,0.55,0.2016,0.2609,0.5407,2.16,0.1317,0.19,0.1992,0.5558,0.19,0.3567,0.46
17,,Home Batter 9,718040,543309,2.8243,0.1733,0.1845,0.2559,0.6128,0.4969,0.3569,0.8839,2.74,0.2217,0.08,0.295,0.855,0.51,0.56,0.94
