,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717965,573131,2.8615,0.1928,0.0403,0.2724,0.5796,0.2235,0.3072,0.9097,2.29,0.27,0.0,0.3367,0.6442,0.08,0.3075,0.47
1,,Away Batter 2,717965,680911,2.6041,0.274,0.0599,0.3195,0.733,0.2697,0.4134,0.4541,3.37,0.3565,0.23,0.4207,1.0142,0.57,0.5935,0.68
2,,Away Batter 3,717965,661388,3.1901,0.2583,0.1048,0.3446,0.755,0.4403,0.4104,0.7962,3.67,0.178,0.27,0.288,0.672,0.62,0.384,0.9
3,,Away Batter 4,717965,592885,3.5247,0.2373,0.125,0.3214,0.7081,0.4231,0.3866,0.9593,3.26,0.2575,0.1,0.3342,0.7367,0.27,0.4025,0.7
4,,Away Batter 5,717965,605119,3.1929,0.2503,0.1305,0.3344,0.7773,0.4097,0.443,1.0373,3.42,0.2683,0.19,0.3408,0.8767,0.73,0.5358,1.04
5,,Away Batter 6,717965,670712,2.4456,0.2435,0.2464,0.3677,0.9451,0.6388,0.5774,0.6951,2.29,0.2025,0.1,0.2025,0.66,0.1,0.4575,0.78
6,,Away Batter 7,717965,686894,2.1309,0.1578,0.0617,0.2095,0.4846,0.2185,0.2751,0.5815,2.84,0.105,0.13,0.145,0.3675,0.15,0.2225,1.13
7,,Away Batter 8,717965,621438,3.1738,0.2018,0.1259,0.2152,0.5466,0.3074,0.3313,0.4871,2.8,0.1325,0.0,0.1467,0.3675,0.09,0.2208,1.29
8,,Away Batter 9,717965,655316,1.0417,0.0139,0.0,0.125,0.1389,0.0417,0.0139,0.3056,1.45,0.035,0.01,0.2983,0.3633,0.22,0.065,0.49
9,,Home Batter 1,717965,543807,3.6908,0.2323,0.1624,0.29,0.6759,0.4611,0.3859,0.7377,3.71,0.3547,0.15,0.498,1.0862,0.46,0.5882,0.56
10,,Home Batter 2,717965,666182,3.792,0.3079,0.191,0.3522,0.8719,0.5898,0.5196,0.729,4.43,0.4125,0.26,0.4345,1.0995,0.88,0.665,0.56
11,,Home Batter 3,717965,665489,3.5432,0.2958,0.2123,0.3827,0.9096,0.5947,0.5269,0.6013,4.14,0.173,0.08,0.2017,0.4472,0.74,0.2455,1.14
12,,Home Batter 4,717965,474832,3.1159,0.2603,0.1033,0.3285,0.7886,0.3471,0.4602,1.2656,3.04,0.2997,0.0,0.4265,0.7762,0.19,0.3497,1.22
13,,Home Batter 5,717965,656305,3.3631,0.2549,0.1179,0.3387,0.7768,0.4784,0.4382,0.9875,3.84,0.2028,0.15,0.247,0.5848,0.38,0.3378,1.06
14,,Home Batter 6,717965,593160,3.4136,0.2859,0.0497,0.334,0.7624,0.4641,0.4283,0.6654,3.62,0.3123,0.08,0.3515,0.7372,0.25,0.3857,0.85
15,,Home Batter 7,717965,662139,3.2689,0.21,0.1302,0.2849,0.6656,0.415,0.3807,0.8823,3.85,0.1742,0.19,0.2042,0.5233,0.54,0.3192,0.41
16,,Home Batter 8,717965,672386,2.9007,0.2352,0.0817,0.3564,0.6855,0.3796,0.3291,0.4963,3.22,0.2695,0.0,0.2845,0.58,0.31,0.2955,0.26
17,,Home Batter 9,717965,624415,2.7579,0.182,0.0704,0.2868,0.5561,0.1675,0.2692,0.903,2.62,0.2482,0.22,0.2482,0.7738,0.26,0.5257,0.95
