,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717945,673490,3.1062,0.2191,0.0686,0.2893,0.6186,0.3375,0.3293,0.792,2.92,0.2993,0.11,0.3802,0.8095,0.44,0.4293,0.71
1,,Away Batter 2,717945,665487,3.7052,0.2974,0.229,0.3552,0.9146,0.5674,0.5594,0.9439,4.08,0.1625,0.3,0.2585,0.6275,0.62,0.369,1.0
2,,Away Batter 3,717945,665742,3.3984,0.2869,0.1657,0.4221,0.937,0.564,0.5148,0.8086,2.84,0.3285,0.24,0.486,1.024,0.57,0.538,0.72
3,,Away Batter 4,717945,593428,3.5521,0.2627,0.127,0.3461,0.7693,0.4373,0.4231,0.6671,4.08,0.2247,0.08,0.278,0.5607,0.42,0.2827,1.38
4,,Away Batter 5,717945,641525,2.3362,0.1732,0.0195,0.2979,0.5453,0.1981,0.2474,0.9437,2.41,0.2483,0.09,0.2483,0.6542,0.11,0.4058,0.65
5,,Away Batter 6,717945,630105,3.3566,0.2656,0.0962,0.3544,0.8101,0.4161,0.4556,0.6844,3.77,0.21,0.24,0.2902,0.8002,0.36,0.51,1.37
6,,Away Batter 7,717945,443558,3.2871,0.2479,0.1277,0.2774,0.6742,0.5285,0.3968,0.8806,2.13,0.14,0.0,0.29,0.43,0.0,0.14,0.83
7,,Away Batter 8,717945,596142,3.249,0.1918,0.1526,0.2675,0.6402,0.4347,0.3727,1.0425,3.09,0.1327,0.12,0.2242,0.4755,0.57,0.2513,1.3
8,,Away Batter 9,717945,663757,3.189,0.2109,0.1371,0.3133,0.7251,0.4326,0.4118,0.9924,3.07,0.21,0.09,0.315,0.6883,0.18,0.3733,0.75
9,,Home Batter 1,717945,650559,3.1507,0.2545,0.0795,0.299,0.6987,0.3128,0.3997,0.9157,3.9,0.3337,0.3,0.428,1.0007,0.77,0.5727,0.91
10,,Home Batter 2,717945,624585,3.4002,0.2286,0.1833,0.301,0.7598,0.4258,0.4588,0.9814,4.13,0.2435,0.55,0.3405,0.969,0.99,0.6285,1.15
11,,Home Batter 3,717945,650333,3.471,0.3418,0.0256,0.3882,0.7969,0.294,0.4086,0.2871,3.89,0.3578,0.0,0.3948,0.8147,0.49,0.4198,0.1
12,,Home Batter 4,717945,493329,3.5317,0.2879,0.0828,0.3162,0.7145,0.3417,0.3984,0.3716,3.62,0.2993,0.02,0.4263,0.8432,0.4,0.4168,0.55
13,,Home Batter 5,717945,542932,2.9254,0.2438,0.0564,0.3557,0.6909,0.2651,0.3352,0.7049,3.75,0.275,0.0,0.332,0.6095,0.15,0.2775,1.11
14,,Home Batter 6,717945,516416,3.3212,0.2337,0.031,0.2811,0.5831,0.2191,0.302,0.5524,3.97,0.206,0.0,0.25,0.486,0.33,0.236,0.74
15,,Home Batter 7,717945,663743,2.5318,0.2084,0.0842,0.2704,0.5631,0.2685,0.2927,0.5425,3.34,0.2642,0.19,0.2725,0.7067,0.35,0.4342,0.66
16,,Home Batter 8,717945,641658,2.514,0.1973,0.0331,0.2297,0.5519,0.1909,0.3222,0.6921,2.78,0.2285,0.0,0.3335,0.573,0.2,0.2395,0.76
17,,Home Batter 9,717945,641505,1.828,0.1627,0.0042,0.2177,0.4054,0.0791,0.1877,0.515,2.89,0.2932,0.09,0.3982,0.8188,0.09,0.4207,0.87
