,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718164,641343,2.1276,0.2832,0.0469,0.3671,0.736,0.2784,0.3689,0.6412,2.27,0.3517,0.13,0.3917,0.9133,0.29,0.5217,0.83
1,,Away Batter 2,718164,592450,3.2026,0.3177,0.2458,0.3999,1.0191,0.5592,0.6191,1.0024,3.77,0.2423,0.23,0.312,0.7993,0.95,0.4873,1.29
2,,Away Batter 3,718164,519203,3.3201,0.2658,0.1644,0.3354,0.7845,0.4327,0.4491,0.7901,3.91,0.3792,0.39,0.4592,1.2003,0.82,0.7412,0.86
3,,Away Batter 4,718164,650402,3.3521,0.2555,0.1524,0.3208,0.7616,0.4453,0.4408,0.7336,3.67,0.2578,0.16,0.3508,0.8008,0.71,0.45,0.4
4,,Away Batter 5,718164,641432,2.7265,0.2246,0.0409,0.3186,0.6357,0.2194,0.3171,0.3778,2.69,0.1862,0.15,0.237,0.589,0.3,0.352,0.27
5,,Away Batter 6,718164,683011,2.1812,0.1606,0.0725,0.2621,0.5338,0.1884,0.2717,0.7043,4.19,0.2407,0.35,0.2643,0.816,0.84,0.5517,1.39
6,,Away Batter 7,718164,665828,2.8202,0.2763,0.1035,0.3183,0.7448,0.4248,0.4265,0.6906,3.02,0.2733,0.2,0.3125,0.7675,0.8,0.455,0.41
7,,Away Batter 8,718164,543309,2.5873,0.1585,0.1993,0.2645,0.635,0.5117,0.3705,0.7802,2.81,0.3598,0.16,0.419,1.2955,0.5,0.8765,0.87
8,,Away Batter 9,718164,543305,2.512,0.2343,0.0454,0.3202,0.6313,0.1904,0.3111,0.7579,2.73,0.135,0.11,0.2933,0.5633,0.32,0.27,0.5
9,,Home Batter 1,718164,543807,3.6482,0.2338,0.1769,0.2931,0.6984,0.4579,0.4053,0.7635,4.01,0.2203,0.2,0.2675,0.6078,0.49,0.3403,0.75
10,,Home Batter 2,718164,666182,3.6765,0.318,0.1887,0.3616,0.9,0.5499,0.5384,0.6848,4.11,0.257,0.16,0.342,0.7595,0.67,0.4175,0.84
11,,Home Batter 3,718164,665489,3.412,0.3071,0.2232,0.3963,0.9349,0.5864,0.5386,0.5342,3.84,0.298,0.15,0.3855,0.923,0.82,0.5375,0.84
12,,Home Batter 4,718164,662139,3.129,0.195,0.0956,0.2788,0.6232,0.3364,0.3443,0.876,3.94,0.2748,0.28,0.317,0.8717,0.69,0.5547,0.92
13,,Home Batter 5,718164,656305,3.2639,0.2587,0.1378,0.3434,0.7981,0.5221,0.4547,0.9002,3.86,0.1883,0.0,0.2595,0.5117,0.16,0.2522,1.49
14,,Home Batter 6,718164,593160,3.2576,0.2946,0.0415,0.3439,0.7973,0.4611,0.4534,0.6216,3.84,0.2318,0.08,0.2928,0.6052,0.45,0.3123,0.86
15,,Home Batter 7,718164,474832,3.0957,0.2568,0.0629,0.3191,0.7461,0.2451,0.427,1.2231,3.08,0.3203,0.1,0.3725,0.9162,0.41,0.5437,1.36
16,,Home Batter 8,718164,672386,2.8674,0.2448,0.0714,0.3601,0.689,0.4288,0.3289,0.551,2.86,0.1367,0.04,0.2,0.3967,0.13,0.1967,0.39
17,,Home Batter 9,718164,595281,3.0077,0.2813,0.0421,0.3241,0.7525,0.3545,0.4284,0.7661,3.09,0.3843,0.09,0.4607,1.0328,0.38,0.5722,0.46
