,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717917,650402,3.4667,0.2515,0.145,0.3179,0.7472,0.4715,0.4293,0.6731,4.37,0.3068,0.19,0.3228,0.7722,0.28,0.4493,0.53
1,,Away Batter 2,717917,592450,3.3554,0.2978,0.2432,0.3797,0.9666,0.6248,0.5869,1.0643,3.52,0.3207,0.59,0.4715,1.3417,1.0,0.8702,1.16
2,,Away Batter 3,717917,519203,3.4216,0.2678,0.1549,0.339,0.7777,0.4241,0.4387,0.7907,4.1,0.2965,0.18,0.314,0.7705,0.85,0.4565,1.45
3,,Away Batter 4,717917,519317,3.1374,0.2583,0.0838,0.3031,0.6745,0.383,0.3714,1.0082,3.97,0.2722,0.28,0.2905,0.8492,0.88,0.5587,0.94
4,,Away Batter 5,717917,518626,2.4704,0.2076,0.0526,0.4067,0.6773,0.1654,0.2706,0.6531,2.77,0.1967,0.28,0.2917,0.7908,0.52,0.4992,0.72
5,,Away Batter 6,717917,643396,2.8813,0.2028,0.0282,0.2773,0.5414,0.1873,0.2642,0.5137,3.37,0.2522,0.17,0.2788,0.7418,1.07,0.463,0.53
6,,Away Batter 7,717917,683011,2.3925,0.1559,0.0968,0.2437,0.5246,0.2366,0.2808,0.7548,3.42,0.102,0.14,0.127,0.3525,0.56,0.2255,1.17
7,,Away Batter 8,717917,624431,2.9865,0.2191,0.0728,0.2693,0.5931,0.4566,0.3238,0.484,3.25,0.2208,0.04,0.3027,0.561,0.15,0.2583,0.58
8,,Away Batter 9,717917,656185,2.2319,0.2114,0.0186,0.28,0.6993,0.2442,0.4194,0.7218,1.8,0.185,0.14,0.2517,0.7183,0.28,0.4667,0.64
9,,Home Batter 1,717917,605141,3.571,0.2648,0.2343,0.3557,0.8921,0.557,0.5365,0.706,4.26,0.2695,0.37,0.361,0.9167,0.65,0.5557,0.59
10,,Home Batter 2,717917,518692,3.6215,0.2993,0.1703,0.3789,0.8875,0.5571,0.5086,0.6687,4.14,0.472,0.2,0.5273,1.301,0.78,0.7737,0.53
11,,Home Batter 3,717917,669257,3.3925,0.2946,0.1875,0.3888,0.908,0.6556,0.5193,0.3867,3.31,0.2447,0.14,0.3782,0.7388,0.72,0.3607,0.54
12,,Home Batter 4,717917,571970,3.1257,0.2206,0.245,0.3521,0.8362,0.6315,0.4841,1.0196,3.88,0.209,0.25,0.2592,0.7772,0.73,0.518,1.18
13,,Home Batter 5,717917,502110,3.4921,0.2433,0.1474,0.2942,0.7448,0.5437,0.4506,1.0501,4.06,0.3463,0.54,0.3843,1.2197,1.49,0.8353,1.44
14,,Home Batter 6,717917,518792,2.6139,0.2001,0.1022,0.2744,0.6408,0.257,0.3665,0.6667,2.49,0.235,0.19,0.323,0.833,0.44,0.51,0.45
15,,Home Batter 7,717917,678246,2.4556,0.1598,0.0708,0.2696,0.5516,0.3373,0.282,0.762,3.71,0.1687,0.09,0.2462,0.55,0.35,0.3038,1.03
16,,Home Batter 8,717917,681546,2.6153,0.2927,0.1599,0.3846,0.9492,0.5656,0.5646,0.9652,2.98,0.1075,0.05,0.1615,0.3065,0.39,0.145,1.4
17,,Home Batter 9,717917,500743,2.9783,0.2425,0.0555,0.313,0.6605,0.2422,0.3474,0.3712,3.95,0.2533,0.0,0.2583,0.5832,0.27,0.3248,0.3
