"game_id","game_date","player_id","career_atbats","career_avg","career_homeruns","career_obp","career_ops","career_rbi","career_slg","career_strikeouts","recent_atbats","recent_avg","recent_homeruns","recent_obp","recent_ops","recent_rbi","recent_slg","recent_strikeouts"
"717779","2023/06/13","683011","2.379","0.15","0.097","0.236","0.515","0.241","0.279","0.791","3.42","0.104","0.15","0.13","0.338","0.41","0.208","1.06"
"717783","2023/06/13","666135","3.136","0.259","0.146","0.309","0.754","0.376","0.445","0.899","3.31","0.253","0","0.313","0.652","0.36","0.339","0.74"
"717781","2023/06/13","642731","3.462","0.264","0.132","0.293","0.744","0.432","0.451","0.788","4.34","0.225","0.31","0.245","0.791","0.78","0.546","1.42"
"717774","2023/06/13","650490","3.339","0.302","0.188","0.395","0.913","0.549","0.518","0.568","4.08","0.248","0.02","0.331","0.628","0.35","0.297","0.98"
"717774","2023/06/13","669127","3.037","0.199","0.15","0.244","0.665","0.411","0.421","0.996","3.14","0.224","0.09","0.371","0.761","0.63","0.39","1.15"
"717778","2023/06/13","676801","2.864","0.237","0.077","0.361","0.741","0.365","0.38","0.838","3.39","0.202","0.19","0.27","0.646","0.33","0.376","1.19"
"717782","2023/06/13","672779","2.344","0.213","0.043","0.288","0.635","0.262","0.347","0.464","3.24","0.266","0.01","0.266","0.614","0.13","0.349","0.43"
"717782","2023/06/13","668804","3.556","0.263","0.138","0.316","0.777","0.478","0.462","0.788","3.45","0.293","0.02","0.431","0.849","0.44","0.418","0.8"
"717782","2023/06/13","669261","2.605","0.349","0.12","0.442","1.155","0.368","0.714","0.993","3.04","0.227","0.36","0.317","0.833","0.64","0.516","1.05"
"717782","2023/06/13","467793","3.303","0.204","0.077","0.31","0.634","0.436","0.324","0.66","3.67","0.17","0.15","0.293","0.571","0.39","0.278","0.74"
"717782","2023/06/13","656582","3.062","0.236","0.109","0.329","0.737","0.371","0.409","0.882","3.11","0.22","0.05","0.28","0.623","0.42","0.343","0.9"
"717782","2023/06/13","641943","1.138","0.078","0.019","0.092","0.223","0.083","0.132","0.343","2.69","0.228","0.09","0.327","0.725","0.55","0.398","0.35"
"717782","2023/06/13","663647","3.629","0.253","0.075","0.3","0.712","0.404","0.412","0.687","4.23","0.381","0.15","0.381","1.001","0.83","0.619","1.03"
"717782","2023/06/13","678225","2.492","0.214","0.021","0.256","0.521","0.23","0.265","0.613","3.21","0.246","0","0.297","0.608","0.47","0.311","0.69"
"717782","2023/06/13","595978","2.674","0.15","0.033","0.203","0.408","0.189","0.205","0.788","3.19","0.199","0","0.214","0.473","0.38","0.259","0.56"
"717782","2023/06/13","643565","2.229","0.226","0.061","0.388","0.766","0.257","0.378","0.711","3.04","0.195","0","0.303","0.555","0.3","0.253","0.71"
"717782","2023/06/13","663538","3.737","0.271","0.06","0.315","0.701","0.442","0.386","0.437","3.85","0.29","0.04","0.337","0.671","0.37","0.335","0.69"
"717782","2023/06/13","673548","3.007","0.234","0.136","0.284","0.687","0.414","0.403","0.873","3.65","0.294","0","0.348","0.728","0.01","0.38","1.28"
"717782","2023/06/13","664023","3.333","0.277","0.099","0.379","0.811","0.443","0.433","0.965","3.36","0.192","0","0.32","0.528","0.12","0.208","0.9"
"717782","2023/06/13","621020","3.587","0.233","0.12","0.33","0.73","0.427","0.4","1.016","3.72","0.168","0.05","0.232","0.459","0.21","0.227","1.29"
"717782","2023/06/13","670223","2","0.111","0.029","0.16","0.322","0.145","0.162","0.783","3.13","0.083","0.15","0.138","0.367","0.41","0.228","1.08"
"717782","2023/06/13","670156","2.004","0.234","0.027","0.306","0.603","0.239","0.297","0.479","2.45","0.128","0","0.22","0.363","0","0.143","0.75"
"717782","2023/06/13","663611","2.855","0.272","0.008","0.305","0.629","0.213","0.323","0.3","3.16","0.147","0","0.216","0.373","0.24","0.157","0.44"
"717782","2023/06/13","571466","2.598","0.201","0.01","0.245","0.467","0.236","0.222","0.686","2.47","0.08","0","0.199","0.282","0.17","0.083","0.8"
"717775","2023/06/13","592663","3.482","0.266","0.1","0.312","0.747","0.44","0.435","0.925","3.57","0.217","0.27","0.238","0.783","0.67","0.545","0.95"
"717773","2023/06/13","493329","3.593","0.284","0.087","0.32","0.715","0.364","0.395","0.387","3.48","0.133","0","0.184","0.4","0.23","0.216","0.62"
