,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717944,681082,3.3386,0.2405,0.0667,0.2751,0.6246,0.2633,0.3495,0.7117,3.86,0.3248,0.17,0.359,1.0093,0.55,0.6503,0.84
1,,Away Batter 2,717944,607208,3.979,0.2911,0.1329,0.3284,0.7903,0.4156,0.4619,0.9531,4.26,0.155,0.08,0.183,0.4495,0.42,0.2665,0.76
2,,Away Batter 3,717944,547180,3.8288,0.3409,0.1652,0.4013,0.9433,0.4627,0.5419,1.0509,3.47,0.2708,0.1,0.395,0.8025,0.27,0.4075,0.88
3,,Away Batter 4,717944,592206,3.5784,0.2923,0.1457,0.3539,0.8636,0.6017,0.5097,0.9739,3.89,0.2437,0.0,0.2997,0.6735,0.23,0.3738,1.08
4,,Away Batter 5,717944,656941,3.4845,0.2104,0.2349,0.3111,0.7686,0.4833,0.4575,1.2315,3.06,0.1225,0.26,0.332,0.762,0.61,0.43,1.23
5,,Away Batter 6,717944,592663,3.5085,0.2735,0.1135,0.3136,0.7719,0.4763,0.4583,0.9275,3.02,0.14,0.0,0.2547,0.4513,0.08,0.1967,0.91
6,,Away Batter 7,717944,669016,2.9263,0.2627,0.0809,0.3622,0.7976,0.3579,0.4354,1.0858,3.22,0.1783,0.11,0.217,0.4778,0.56,0.2608,1.4
7,,Away Batter 8,717944,665019,2.1793,0.2225,0.1267,0.2882,0.7041,0.3781,0.4159,0.5361,2.82,0.2983,0.08,0.3505,0.7613,0.34,0.4108,1.02
8,,Away Batter 9,717944,624641,2.6155,0.2941,0.1311,0.3223,0.8588,0.3782,0.5366,0.6613,3.21,0.1742,0.0,0.1742,0.4008,0.18,0.2267,0.54
9,,Home Batter 1,717944,607043,3.5543,0.2632,0.0779,0.3686,0.7667,0.3631,0.3981,0.7353,4.16,0.3318,0.06,0.3532,0.951,0.27,0.5978,1.09
10,,Home Batter 2,717944,596019,3.5927,0.2424,0.1717,0.3136,0.7547,0.6995,0.4411,0.8298,4.2,0.2175,0.39,0.27,0.8088,0.81,0.5388,0.66
11,,Home Batter 3,717944,643446,3.4232,0.2557,0.047,0.3159,0.6622,0.3463,0.3463,0.3403,3.11,0.3703,0.0,0.404,0.7743,0.14,0.3703,0.3
12,,Home Batter 4,717944,624413,3.5189,0.2481,0.2986,0.3255,0.8515,0.7221,0.526,0.845,3.89,0.2895,0.44,0.3162,1.0732,0.87,0.757,0.54
13,,Home Batter 5,717944,683146,2.2244,0.2371,0.0641,0.3003,0.6232,0.2299,0.3228,0.6104,3.23,0.206,0.1,0.2362,0.5522,0.69,0.316,1.05
14,,Home Batter 6,717944,516782,3.4947,0.2762,0.067,0.3128,0.7341,0.345,0.4213,0.7023,3.22,0.2952,0.07,0.3365,0.7575,0.54,0.421,0.4
15,,Home Batter 7,717944,596129,2.6227,0.2195,0.0547,0.3482,0.6845,0.4019,0.3363,0.753,2.33,0.1408,0.01,0.2365,0.3848,0.01,0.1483,0.93
16,,Home Batter 8,717944,592192,3.2842,0.2258,0.0742,0.2913,0.6332,0.3324,0.3419,0.7313,2.59,0.225,0.0,0.3183,0.5708,0.08,0.2525,0.53
17,,Home Batter 9,717944,621512,2.7816,0.2714,0.1307,0.2879,0.7617,0.2798,0.4738,0.6627,2.37,0.0908,0.0,0.1075,0.1983,0.01,0.0908,0.69
