,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718259,650490,3.1713,0.2774,0.2085,0.3579,0.8517,0.5603,0.4938,0.5227,3.23,0.3212,0.25,0.5098,1.0745,0.41,0.5647,0.77
1,,Away Batter 2,718259,677551,3.5798,0.2786,0.1584,0.3366,0.8335,0.5851,0.4969,0.57,4.16,0.2837,0.17,0.338,0.8242,0.64,0.4862,0.79
2,,Away Batter 3,718259,668227,3.6038,0.2998,0.2028,0.3564,0.8943,0.8114,0.5378,0.9737,3.86,0.3155,0.37,0.3738,1.0998,0.67,0.726,1.19
3,,Away Batter 4,718259,664040,2.8833,0.297,0.2351,0.3892,0.9628,0.5885,0.5736,0.7078,4.08,0.111,0.1,0.139,0.403,0.49,0.264,1.48
4,,Away Batter 5,718259,670764,2.7328,0.2423,0.0534,0.2971,0.6878,0.284,0.3907,0.5292,3.39,0.1952,0.26,0.304,0.7162,0.45,0.4122,0.97
5,,Away Batter 6,718259,666139,2.7796,0.2896,0.1536,0.3338,0.8291,0.3805,0.4952,0.7859,3.29,0.196,0.19,0.2705,0.651,0.48,0.3805,1.08
6,,Away Batter 7,718259,642350,2.244,0.1887,0.072,0.2676,0.5906,0.1755,0.3231,0.7163,3.03,0.2185,0.19,0.3393,0.798,0.63,0.4587,1.18
7,,Away Batter 8,718259,670042,2.6196,0.2576,0.2302,0.2951,0.8566,0.585,0.5615,0.832,3.41,0.2193,0.33,0.2293,0.7777,0.77,0.5483,1.46
8,,Away Batter 9,718259,642336,2.5762,0.1906,0.0902,0.2352,0.5352,0.2578,0.3,0.489,3.57,0.214,0.1,0.2388,0.6313,0.27,0.3925,0.92
9,,Home Batter 1,718259,669720,3.3443,0.297,0.2117,0.3386,0.8876,0.5398,0.549,0.7617,3.26,0.1872,0.05,0.2657,0.5278,0.33,0.2622,1.01
10,,Home Batter 2,718259,668939,3.1314,0.2795,0.1684,0.4042,0.8997,0.523,0.4955,0.6783,3.44,0.1837,0.0,0.3527,0.5883,0.19,0.2357,0.39
11,,Home Batter 3,718259,663624,3.6198,0.2742,0.2094,0.2989,0.8294,0.7364,0.5305,0.8503,4.51,0.293,0.16,0.3165,0.8078,0.48,0.4913,1.04
12,,Home Batter 4,718259,623993,3.3726,0.1956,0.1081,0.3042,0.6425,0.4357,0.3383,0.9656,4.08,0.3888,0.35,0.4085,1.138,1.16,0.7295,0.89
13,,Home Batter 5,718259,622761,2.8449,0.2832,0.0874,0.3343,0.7854,0.4185,0.4512,0.6997,3.31,0.1877,0.19,0.2112,0.6005,0.48,0.3893,1.01
14,,Home Batter 6,718259,543510,2.9731,0.1881,0.0203,0.2124,0.4637,0.1702,0.2513,0.6595,3.11,0.1915,0.13,0.2165,0.5755,0.31,0.359,0.37
15,,Home Batter 7,718259,624428,3.0865,0.2156,0.0506,0.2905,0.6226,0.2171,0.3321,0.3318,3.02,0.2917,0.1,0.3513,0.7555,0.51,0.4042,0.33
16,,Home Batter 8,718259,602104,2.8787,0.2438,0.0592,0.3089,0.6737,0.2605,0.3648,0.8412,3.46,0.3492,0.0,0.4035,0.8977,0.75,0.4942,1.01
17,,Home Batter 9,718259,663630,1.9646,0.1806,0.0087,0.2589,0.495,0.1609,0.2361,0.5691,1.49,0.2025,0.07,0.2025,0.495,0.26,0.2925,0.53
