,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717887,668472,2.768,0.2743,0.1047,0.3599,0.843,0.4814,0.4831,1.0879,3.55,0.2403,0.11,0.3425,0.7005,0.11,0.358,1.36
1,,Away Batter 2,717887,677951,3.7067,0.2606,0.1673,0.2996,0.7696,0.5126,0.4701,0.8325,4.04,0.2195,0.23,0.221,0.606,0.59,0.385,1.07
2,,Away Batter 3,717887,669004,3.0797,0.1924,0.1151,0.2889,0.6612,0.4397,0.3723,1.0343,3.49,0.2183,0.08,0.33,0.7133,0.3,0.3833,1.01
3,,Away Batter 4,717887,521692,3.665,0.2861,0.2346,0.3175,0.8534,0.6201,0.5359,0.8738,4.12,0.237,0.17,0.247,0.63,0.57,0.383,0.93
4,,Away Batter 5,717887,686681,2.4763,0.2012,0.0981,0.2334,0.5911,0.3489,0.3577,0.8317,2.79,0.2442,0.13,0.3342,0.7108,0.51,0.3767,0.49
5,,Away Batter 6,717887,672580,2.4017,0.2358,0.0267,0.2746,0.584,0.3779,0.3094,0.4625,3.08,0.2528,0.12,0.4212,0.8658,0.4,0.4447,1.24
6,,Away Batter 7,717887,670032,2.6821,0.1671,0.0022,0.2902,0.5336,0.2167,0.2434,0.5672,2.14,0.197,0.0,0.2612,0.5048,0.11,0.2437,0.36
7,,Away Batter 8,717887,658668,3.0516,0.2645,0.1172,0.3062,0.7779,0.3045,0.4718,0.6006,2.78,0.2033,0.2,0.2083,0.6383,0.28,0.43,0.49
8,,Away Batter 9,717887,671221,1.9423,0.3702,0.0577,0.4721,1.0683,0.4615,0.5962,0.5385,2.94,0.1797,0.2,0.209,0.5762,0.52,0.3672,1.4
9,,Home Batter 1,717887,650333,3.521,0.3408,0.0241,0.3859,0.799,0.3017,0.4131,0.2701,3.8,0.4547,0.0,0.494,1.0338,1.03,0.5398,0.17
10,,Home Batter 2,717887,650559,3.1834,0.2662,0.0979,0.3101,0.7421,0.3639,0.432,0.9065,3.78,0.2743,0.14,0.3882,0.7585,0.68,0.3703,0.89
11,,Home Batter 3,717887,643265,3.4038,0.2782,0.0988,0.3125,0.7119,0.5037,0.3994,1.018,3.83,0.2435,0.27,0.26,0.92,0.8,0.66,1.21
12,,Home Batter 4,717887,660821,2.5914,0.2201,0.0749,0.2983,0.6483,0.2726,0.35,0.8608,2.84,0.4042,0.19,0.4575,1.0842,0.49,0.6267,0.62
13,,Home Batter 5,717887,493329,3.6117,0.2646,0.0961,0.2966,0.6717,0.3328,0.3751,0.3805,3.8,0.3222,0.0,0.423,0.9197,0.32,0.4967,0.71
14,,Home Batter 6,717887,663743,2.635,0.2038,0.0815,0.2595,0.5457,0.2528,0.2862,0.5399,2.79,0.2278,0.13,0.2938,0.6392,0.44,0.3453,0.43
15,,Home Batter 7,717887,621563,2.9546,0.1774,0.0183,0.1999,0.5053,0.1942,0.3054,0.6552,2.18,0.2583,0.0,0.3792,0.7375,0.12,0.3583,0.52
16,,Home Batter 8,717887,542932,2.9457,0.2424,0.0532,0.3486,0.6812,0.2513,0.3327,0.6963,2.79,0.169,0.0,0.2085,0.3775,0.09,0.169,1.01
17,,Home Batter 9,717887,641505,1.856,0.1378,0.0042,0.1952,0.3549,0.0697,0.1596,0.5898,3.05,0.2672,0.06,0.3625,0.7888,0.39,0.4263,0.7
