,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717915,656716,2.5344,0.1896,0.0555,0.2829,0.5916,0.2218,0.3087,0.6426,3.35,0.2538,0.1,0.375,0.7418,0.22,0.3668,0.96
1,,Away Batter 2,717915,595879,3.6029,0.2432,0.0932,0.267,0.6467,0.4843,0.3797,0.8236,4.45,0.1975,0.0,0.2075,0.5008,0.58,0.2933,1.05
2,,Away Batter 3,717915,668731,2.8066,0.2201,0.0734,0.3048,0.6389,0.2182,0.3341,0.8038,2.76,0.2417,0.18,0.3663,0.8005,0.68,0.4342,0.32
3,,Away Batter 4,717915,679529,3.0503,0.2034,0.0561,0.2597,0.5614,0.308,0.3016,0.791,3.46,0.246,0.03,0.3983,0.7322,0.35,0.3338,1.14
4,,Away Batter 5,717915,606992,3.0047,0.2709,0.1282,0.3105,0.7648,0.4652,0.4543,0.919,3.15,0.115,0.0,0.1962,0.3612,0.17,0.165,0.96
5,,Away Batter 6,717915,665155,2.6041,0.222,0.1336,0.2995,0.7317,0.3969,0.4322,0.8168,2.26,0.2183,0.05,0.3548,0.6107,0.07,0.2558,0.68
6,,Away Batter 7,717915,670097,1.9664,0.2058,0.0942,0.3179,0.6606,0.1802,0.3428,0.7967,2.31,0.2887,0.15,0.3247,0.9453,0.63,0.6207,0.4
7,,Away Batter 8,717915,570731,3.0724,0.2522,0.0595,0.3028,0.6667,0.1548,0.3639,0.814,2.2,0.15,0.0,0.3042,0.4967,0.16,0.1925,0.65
8,,Away Batter 9,717915,545350,1.872,0.1554,0.0336,0.2058,0.4241,0.1906,0.2183,0.5434,1.21,0.1017,0.0,0.1017,0.2233,0.16,0.1217,0.5
9,,Home Batter 1,717915,641313,3.9556,0.2651,0.0294,0.2961,0.6292,0.3004,0.3331,0.7871,3.94,0.3222,0.0,0.3557,0.7625,0.33,0.4068,0.65
10,,Home Batter 2,717915,643217,3.3915,0.252,0.0377,0.3198,0.6567,0.2961,0.3369,0.5811,3.35,0.1953,0.0,0.23,0.5082,0.28,0.2782,0.49
11,,Home Batter 3,717915,673357,3.6597,0.2749,0.1967,0.3133,0.817,0.5904,0.5036,0.9573,3.9,0.1978,0.06,0.2562,0.5857,0.15,0.3295,1.61
12,,Home Batter 4,717915,650391,3.148,0.3007,0.1036,0.3583,0.7971,0.4184,0.4388,0.7819,3.99,0.3543,0.23,0.3987,0.9822,1.11,0.5835,0.73
13,,Home Batter 5,717915,660162,3.5881,0.2508,0.1405,0.315,0.7673,0.4232,0.4523,0.975,3.47,0.163,0.0,0.2372,0.4322,0.33,0.195,1.24
14,,Home Batter 6,717915,683734,3.5563,0.2606,0.1128,0.3162,0.7466,0.5703,0.4303,0.7296,3.59,0.3578,0.18,0.4022,1.0157,0.73,0.6135,0.46
15,,Home Batter 7,717915,518735,3.0463,0.2186,0.1017,0.3208,0.6776,0.3659,0.3569,0.7631,3.27,0.2268,0.08,0.294,0.6158,0.32,0.3218,0.72
16,,Home Batter 8,717915,657757,2.748,0.242,0.1371,0.304,0.7253,0.4152,0.4213,0.6068,2.53,0.2152,0.15,0.2752,0.6483,0.64,0.3732,0.56
17,,Home Batter 9,717915,462101,3.1773,0.2344,0.0379,0.2776,0.6393,0.2506,0.3617,0.6549,3.31,0.2402,0.08,0.2957,0.7858,0.43,0.4902,0.52
