,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718416,657077,3.4672,0.2945,0.0647,0.3374,0.7213,0.3751,0.3839,0.4897,4.06,0.3178,0.17,0.3577,0.8265,0.56,0.4688,0.93
1,,Away Batter 2,718416,646240,3.5316,0.3053,0.2336,0.3576,0.9367,0.6392,0.5791,0.8453,3.87,0.1823,0.32,0.256,0.7528,1.06,0.4968,0.76
2,,Away Batter 3,718416,457759,3.0531,0.2426,0.0735,0.3401,0.6826,0.3718,0.3425,0.4943,3.75,0.2928,0.15,0.356,0.838,0.35,0.482,0.41
3,,Away Batter 4,718416,807799,2.0,0.2056,0.1333,0.2667,0.7556,0.4667,0.4889,0.3333,3.77,0.352,0.2,0.417,0.9515,0.86,0.5345,0.57
4,,Away Batter 5,718416,571771,3.0415,0.1426,0.1032,0.2263,0.496,0.3066,0.2697,0.7942,4.05,0.2927,0.08,0.3227,0.7853,0.23,0.4627,0.95
5,,Away Batter 6,718416,671213,2.4909,0.2312,0.1468,0.3113,0.7362,0.4655,0.4249,0.7266,3.08,0.1558,0.12,0.3535,0.6252,0.13,0.2717,1.21
6,,Away Batter 7,718416,680776,1.8825,0.517,0.2451,0.6788,1.9167,0.3108,1.2379,0.3507,3.21,0.3353,0.12,0.3687,0.9397,0.96,0.571,1.01
7,,Away Batter 8,718416,665839,1.4167,0.0,0.0,0.1667,0.1667,0.0,0.0,0.75,2.24,0.325,0.12,0.4292,0.9142,0.31,0.485,0.55
8,,Away Batter 9,718416,657136,2.0857,0.243,0.1127,0.3025,0.7515,0.2532,0.449,0.6183,2.66,0.1698,0.0,0.301,0.54,0.46,0.239,0.94
9,,Home Batter 1,718416,656775,3.5938,0.232,0.1558,0.2994,0.6853,0.5347,0.3859,0.7107,3.3,0.3085,0.12,0.4165,0.9117,0.91,0.4952,0.75
10,,Home Batter 2,718416,668939,2.9946,0.2821,0.1485,0.405,0.8869,0.4817,0.4819,0.6669,3.83,0.2123,0.08,0.303,0.6028,0.5,0.2998,0.65
11,,Home Batter 3,718416,623993,3.2368,0.1839,0.0958,0.2974,0.6182,0.3863,0.3208,0.8668,3.59,0.2908,0.06,0.3755,0.8685,0.31,0.493,0.95
12,,Home Batter 4,718416,663624,3.3847,0.3006,0.1638,0.3325,0.8789,0.6353,0.5463,0.8887,4.24,0.2575,0.13,0.2575,0.615,0.43,0.3575,0.61
13,,Home Batter 5,718416,683002,2.4962,0.2164,0.0806,0.3496,0.7165,0.3091,0.3669,1.0076,3.12,0.2307,0.12,0.3265,0.6958,0.22,0.3693,0.91
14,,Home Batter 6,718416,624428,2.9677,0.2321,0.0635,0.299,0.6745,0.2559,0.3755,0.2833,3.13,0.1307,0.08,0.1905,0.4412,0.41,0.2507,0.52
15,,Home Batter 7,718416,663630,2.2265,0.1969,0.0087,0.2887,0.5216,0.153,0.233,0.6194,1.0,0.09,0.0,0.13,0.29,0.11,0.16,0.39
16,,Home Batter 8,718416,602104,2.7647,0.2176,0.0705,0.2891,0.6391,0.2467,0.3499,0.8312,3.2,0.3233,0.0,0.3508,0.7608,0.57,0.41,0.76
17,,Home Batter 9,718416,679631,2.4098,0.2948,0.0989,0.3385,0.8053,0.3302,0.4667,0.4926,1.8,0.1708,0.0,0.2108,0.3817,0.0,0.1708,0.43
