,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718109,605141,3.5425,0.276,0.208,0.3631,0.8907,0.5365,0.5276,0.725,3.73,0.2533,0.36,0.3682,1.0773,0.85,0.7092,0.56
1,,Away Batter 2,718109,518692,3.5572,0.297,0.1692,0.3795,0.8731,0.5306,0.4937,0.6591,4.05,0.3973,0.24,0.438,1.2002,1.12,0.7622,0.52
2,,Away Batter 3,718109,502110,3.3981,0.243,0.1031,0.292,0.7194,0.4862,0.4274,1.0828,4.05,0.219,0.21,0.273,0.7458,0.78,0.4728,0.89
3,,Away Batter 4,718109,571970,3.0395,0.2396,0.2706,0.3759,0.9122,0.6274,0.5363,0.9832,3.45,0.1933,0.31,0.2925,0.7108,0.55,0.4183,1.14
4,,Away Batter 5,718109,678246,2.3386,0.1588,0.0401,0.2808,0.5346,0.2584,0.2538,0.7657,3.94,0.2783,0.15,0.329,0.8223,0.61,0.4933,0.49
5,,Away Batter 6,718109,444482,2.7336,0.2044,0.0714,0.2613,0.5752,0.3337,0.3139,0.5523,2.85,0.203,0.05,0.3788,0.689,0.49,0.3102,0.41
6,,Away Batter 7,718109,518792,2.6449,0.1699,0.1053,0.2516,0.5692,0.2453,0.3176,0.6644,2.45,0.1317,0.05,0.2583,0.5183,0.11,0.26,0.8
7,,Away Batter 8,718109,621035,3.0379,0.1747,0.1748,0.2649,0.6392,0.421,0.3743,1.2417,3.0,0.2192,0.12,0.2382,0.8215,0.44,0.5833,0.87
8,,Away Batter 9,718109,605131,2.6471,0.1271,0.0304,0.1896,0.3788,0.2052,0.1892,0.6264,2.97,0.2225,0.0,0.3327,0.5777,0.39,0.245,0.98
9,,Home Batter 1,718109,663457,2.8413,0.2183,0.1047,0.3429,0.7239,0.3375,0.381,0.902,4.09,0.2347,0.05,0.3175,0.6447,0.46,0.3272,0.49
10,,Home Batter 2,718109,502671,3.5383,0.2876,0.1625,0.3641,0.857,0.5129,0.4929,0.755,3.42,0.207,0.12,0.444,0.779,0.44,0.335,1.16
11,,Home Batter 3,718109,669357,2.8999,0.2412,0.1776,0.3213,0.7762,0.6345,0.455,0.9946,3.38,0.4192,0.46,0.483,1.4828,1.16,0.9998,0.9
12,,Home Batter 4,718109,571448,3.618,0.2922,0.1354,0.3291,0.8016,0.5654,0.4725,0.7014,4.17,0.3272,0.56,0.371,1.1455,1.53,0.7745,0.69
13,,Home Batter 5,718109,575929,3.195,0.2549,0.0991,0.3305,0.7309,0.4211,0.4004,0.8241,4.05,0.1947,0.29,0.2885,0.7313,0.91,0.4428,1.09
14,,Home Batter 6,718109,680977,2.655,0.2351,0.0979,0.2782,0.6308,0.3007,0.3526,0.5361,2.96,0.2167,0.04,0.4087,0.6653,0.26,0.2567,0.39
15,,Home Batter 7,718109,657557,2.8245,0.257,0.2074,0.3737,0.9035,0.458,0.5298,0.5914,3.58,0.1913,0.34,0.287,0.7548,0.49,0.4678,1.18
16,,Home Batter 8,718109,676475,2.6543,0.2164,0.0617,0.2716,0.6173,0.321,0.3457,0.3642,2.75,0.1593,0.04,0.1693,0.3937,0.23,0.2243,0.09
17,,Home Batter 9,718109,669242,3.3328,0.225,0.0977,0.3128,0.6648,0.315,0.3519,0.6066,2.84,0.2318,0.11,0.2718,0.6092,0.35,0.3373,0.48
