,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717971,666160,2.3729,0.3141,0.0905,0.3484,0.8972,0.3121,0.5489,0.531,3.28,0.2733,0.34,0.2753,0.9487,0.72,0.6733,1.16
1,,Away Batter 2,717971,545361,3.5443,0.2873,0.2172,0.3606,0.8836,0.5486,0.523,1.1051,3.75,0.2585,0.29,0.339,0.855,0.63,0.516,1.11
2,,Away Batter 3,717971,660271,3.6158,0.2811,0.2139,0.3754,0.8962,0.5885,0.5208,0.9068,3.86,0.1707,0.24,0.2435,0.5967,0.38,0.3532,1.31
3,,Away Batter 4,717971,592669,3.5078,0.2707,0.2378,0.3225,0.8615,0.626,0.539,0.7727,3.7,0.236,0.0,0.269,0.5995,0.09,0.3305,0.6
4,,Away Batter 5,717971,592273,3.1603,0.2437,0.1549,0.2794,0.7457,0.5093,0.4662,0.978,3.64,0.3073,0.1,0.3483,0.8983,0.21,0.55,0.61
5,,Away Batter 6,717971,642136,2.1138,0.2022,0.0332,0.3136,0.572,0.1836,0.2584,0.589,2.62,0.265,0.1,0.3217,0.7642,0.46,0.4425,1.14
6,,Away Batter 7,717971,570482,3.4937,0.2967,0.0471,0.3278,0.7082,0.3723,0.3804,0.6374,3.15,0.3643,0.11,0.4173,0.9972,0.67,0.5798,0.33
7,,Away Batter 8,717971,650859,3.0846,0.2629,0.1353,0.3264,0.7719,0.462,0.4455,0.5681,2.78,0.1425,0.0,0.166,0.336,0.12,0.17,0.74
8,,Away Batter 9,717971,687263,1.7561,0.1431,0.0163,0.187,0.4154,0.1789,0.2285,0.3415,2.94,0.3592,0.1,0.4075,1.065,0.41,0.6575,0.77
9,,Home Batter 1,717971,641313,3.8753,0.2511,0.0294,0.2854,0.6086,0.3004,0.3232,0.7663,4.1,0.329,0.0,0.3523,0.7053,0.32,0.353,0.61
10,,Home Batter 2,717971,643217,3.3821,0.2384,0.0386,0.3055,0.6187,0.294,0.3132,0.5828,3.31,0.2237,0.0,0.2853,0.629,0.28,0.3437,0.52
11,,Home Batter 3,717971,673357,3.6491,0.2624,0.1655,0.3032,0.7651,0.5366,0.4619,0.9882,3.83,0.2142,0.22,0.255,0.7133,0.39,0.4583,1.37
12,,Home Batter 4,717971,650391,3.0933,0.311,0.0591,0.3647,0.7776,0.3722,0.4129,0.7546,3.9,0.3385,0.22,0.4137,0.9788,1.03,0.5652,0.79
13,,Home Batter 5,717971,660162,3.5577,0.2414,0.1685,0.3111,0.7622,0.4536,0.4511,0.9212,3.59,0.2518,0.0,0.29,0.6058,0.56,0.3158,0.92
14,,Home Batter 6,717971,683734,3.5362,0.2675,0.1183,0.326,0.7686,0.5895,0.4426,0.7287,3.81,0.2292,0.15,0.2392,0.5958,0.51,0.3567,0.79
15,,Home Batter 7,717971,657757,2.7627,0.245,0.142,0.3014,0.7324,0.4299,0.431,0.6019,2.57,0.3092,0.21,0.365,0.8858,0.72,0.5208,0.34
16,,Home Batter 8,717971,663853,2.4619,0.1946,0.1298,0.2203,0.6118,0.3278,0.3915,0.7997,2.49,0.2483,0.12,0.2617,0.7833,0.7,0.5217,0.89
17,,Home Batter 9,717971,664874,2.5698,0.2077,0.1444,0.289,0.6917,0.3725,0.4027,0.8376,2.99,0.14,0.03,0.16,0.3225,0.36,0.1625,1.69
