,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717941,673490,3.1188,0.2196,0.0677,0.2888,0.6208,0.362,0.332,0.7942,2.89,0.2668,0.09,0.371,0.7428,0.36,0.3718,0.72
1,,Away Batter 2,717941,665487,3.7105,0.2919,0.2252,0.3487,0.8981,0.5579,0.5493,0.9471,4.09,0.1415,0.28,0.225,0.5545,0.57,0.3295,1.13
2,,Away Batter 3,717941,665742,3.4068,0.29,0.1782,0.4233,0.9487,0.57,0.5254,0.7952,2.84,0.2885,0.21,0.4305,0.901,0.52,0.4705,0.74
3,,Away Batter 4,717941,593428,3.5589,0.2627,0.1253,0.3449,0.7693,0.4317,0.4245,0.6724,3.99,0.2398,0.08,0.2855,0.5783,0.41,0.2928,1.24
4,,Away Batter 5,717941,641525,2.3013,0.1996,0.0195,0.3188,0.5911,0.1933,0.2723,0.9152,2.49,0.215,0.08,0.215,0.5725,0.09,0.3575,0.77
5,,Away Batter 6,717941,630105,3.366,0.2624,0.0951,0.3501,0.8002,0.4117,0.4501,0.7001,3.68,0.1875,0.21,0.2573,0.7048,0.31,0.4475,1.44
6,,Away Batter 7,717941,596142,3.2437,0.1911,0.1521,0.2678,0.6393,0.433,0.3715,1.0423,3.08,0.157,0.22,0.2345,0.6088,0.61,0.3743,1.29
7,,Away Batter 8,717941,640492,2.0807,0.201,0.023,0.2247,0.5316,0.2348,0.3069,0.4476,1.73,0.1483,0.0,0.1483,0.3042,0.22,0.1558,0.36
8,,Away Batter 9,717941,543592,2.8757,0.2139,0.0322,0.3346,0.628,0.258,0.2933,0.581,2.29,0.0617,0.01,0.1575,0.2267,0.07,0.0692,0.63
9,,Home Batter 1,717941,650333,3.4932,0.3396,0.0253,0.3854,0.7939,0.3042,0.4085,0.2834,3.79,0.397,0.0,0.4398,0.8885,0.43,0.4487,0.09
10,,Home Batter 2,717941,624585,3.3963,0.2257,0.1811,0.3004,0.7536,0.4211,0.4531,0.9823,3.89,0.2177,0.49,0.3605,0.9197,0.86,0.5592,1.26
11,,Home Batter 3,717941,650559,3.1602,0.2605,0.0786,0.3044,0.7143,0.3213,0.4099,0.9162,3.8,0.2895,0.27,0.406,0.9012,0.68,0.4952,0.93
12,,Home Batter 4,717941,660821,2.5119,0.2162,0.0573,0.2945,0.6282,0.2086,0.3337,0.8031,2.47,0.4792,0.16,0.4892,1.2258,0.6,0.7367,0.63
13,,Home Batter 5,717941,493329,3.5194,0.2804,0.0807,0.3146,0.7029,0.3345,0.3883,0.389,3.54,0.2768,0.01,0.4212,0.803,0.36,0.3818,0.49
14,,Home Batter 6,717941,663743,2.5654,0.2098,0.0834,0.2701,0.5637,0.2642,0.2936,0.531,3.41,0.2652,0.18,0.2735,0.6987,0.44,0.4252,0.61
15,,Home Batter 7,717941,516416,3.3485,0.2335,0.031,0.2802,0.5814,0.2171,0.3012,0.5591,4.0,0.2403,0.0,0.274,0.5393,0.41,0.2653,0.75
16,,Home Batter 8,717941,641505,1.8363,0.1553,0.0042,0.2084,0.3878,0.0763,0.1794,0.5372,2.82,0.2712,0.08,0.3622,0.7533,0.08,0.3912,0.87
17,,Home Batter 9,717941,621563,2.8054,0.1722,0.0183,0.1962,0.4895,0.1476,0.2933,0.6132,2.05,0.1825,0.0,0.3342,0.5517,0.23,0.2175,0.77
