,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717967,680757,2.9481,0.223,0.0179,0.2944,0.5734,0.2528,0.279,0.3484,3.85,0.2522,0.0,0.3347,0.7092,0.38,0.3745,0.67
1,,Away Batter 2,717967,642708,3.8061,0.2525,0.0845,0.2862,0.6772,0.3718,0.391,0.897,3.95,0.1675,0.0,0.219,0.459,0.39,0.24,0.66
2,,Away Batter 3,717967,608070,2.9638,0.2492,0.1023,0.2926,0.6934,0.4471,0.4008,0.3977,3.99,0.2515,0.13,0.2973,0.7925,0.6,0.4952,0.46
3,,Away Batter 4,717967,647304,3.2572,0.2287,0.1056,0.2821,0.642,0.5376,0.3599,0.6743,3.31,0.2552,0.18,0.3265,0.7352,0.68,0.4087,0.72
4,,Away Batter 5,717967,605137,3.3462,0.2372,0.1382,0.3314,0.7525,0.5038,0.4211,0.7775,3.41,0.2092,0.0,0.2838,0.5397,0.32,0.2558,0.79
5,,Away Batter 6,717967,665926,3.0674,0.2176,0.0663,0.2871,0.6258,0.2447,0.3387,0.6163,3.29,0.145,0.02,0.1617,0.3267,0.02,0.165,0.3
6,,Away Batter 7,717967,686823,2.1626,0.1931,0.0344,0.2067,0.4852,0.3016,0.2785,0.4042,2.69,0.2117,0.09,0.2217,0.5833,0.09,0.3617,0.27
7,,Away Batter 8,717967,572287,2.7944,0.1897,0.1457,0.2757,0.6876,0.3438,0.4119,1.223,2.95,0.2303,0.09,0.2353,0.5557,0.21,0.3203,1.39
8,,Away Batter 9,717967,664702,3.07,0.259,0.0157,0.3238,0.6606,0.2245,0.3367,0.6086,3.24,0.2387,0.0,0.2912,0.6218,0.09,0.3307,0.82
9,,Home Batter 1,717967,624428,3.1197,0.2246,0.0605,0.3003,0.6441,0.2846,0.3439,0.3512,3.55,0.2347,0.15,0.2347,0.6458,0.54,0.4112,0.44
10,,Home Batter 2,717967,668939,3.2142,0.2667,0.1294,0.3958,0.8486,0.4607,0.4527,0.6716,3.89,0.2733,0.16,0.3608,0.8067,0.29,0.4458,0.35
11,,Home Batter 3,717967,623993,3.5041,0.2363,0.1457,0.3246,0.7452,0.5264,0.4206,0.9409,3.42,0.3208,0.14,0.4292,0.9425,0.48,0.5133,1.05
12,,Home Batter 4,717967,669720,3.4426,0.2786,0.1585,0.3242,0.8101,0.485,0.4859,0.8433,3.84,0.3483,0.15,0.3768,1.0052,0.7,0.6283,0.8
13,,Home Batter 5,717967,683002,2.584,0.1982,0.0738,0.3353,0.6655,0.2746,0.3302,0.9408,2.88,0.2127,0.09,0.2418,0.6128,0.27,0.371,1.01
14,,Home Batter 6,717967,663624,3.7547,0.2744,0.1803,0.3065,0.8035,0.628,0.4971,0.8741,3.66,0.2125,0.16,0.2478,0.6637,0.67,0.4158,0.94
15,,Home Batter 7,717967,602104,2.9444,0.2515,0.0556,0.3117,0.6864,0.3434,0.3747,0.8355,3.2,0.2345,0.0,0.2855,0.615,0.48,0.3295,0.94
16,,Home Batter 8,717967,679631,2.1796,0.2406,0.0593,0.2919,0.6366,0.2111,0.3447,0.6037,1.64,0.317,0.0,0.337,0.654,0.44,0.317,0.1
17,,Home Batter 9,717967,622761,2.96,0.2593,0.1063,0.3018,0.7327,0.4154,0.4309,0.7418,3.26,0.1283,0.0,0.175,0.3033,0.1,0.1283,1.01
