,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718258,453568,3.2707,0.2497,0.0831,0.3022,0.6741,0.3448,0.3719,0.664,3.96,0.2265,0.15,0.3138,0.6925,0.71,0.3787,0.55
1,,Away Batter 2,718258,595777,3.6804,0.2491,0.1066,0.3104,0.7153,0.3254,0.4049,0.8231,3.95,0.2065,0.05,0.351,0.647,0.37,0.296,1.02
2,,Away Batter 3,718258,592178,3.3913,0.2818,0.1846,0.3525,0.8651,0.4165,0.5126,0.7925,3.46,0.2705,0.21,0.3845,0.8245,0.65,0.44,0.79
3,,Away Batter 4,718258,641857,3.1593,0.2484,0.1462,0.3346,0.7853,0.4504,0.4508,1.1127,3.56,0.1417,0.02,0.209,0.4357,0.21,0.2267,1.49
4,,Away Batter 5,718258,553869,3.0392,0.2993,0.1324,0.3627,0.8293,0.4705,0.4666,0.6719,3.33,0.3303,0.09,0.377,0.7958,0.78,0.4188,0.74
5,,Away Batter 6,718258,519058,2.7911,0.2445,0.1372,0.294,0.7238,0.529,0.4298,0.667,2.57,0.2825,0.0,0.319,0.774,0.36,0.455,0.74
6,,Away Batter 7,718258,678662,2.4649,0.2048,0.0711,0.2617,0.5816,0.2952,0.3198,0.5742,3.66,0.3288,0.19,0.3413,0.9858,0.91,0.6445,0.83
7,,Away Batter 8,718258,605612,3.0009,0.29,0.013,0.3103,0.669,0.4491,0.3587,0.6163,2.54,0.3333,0.0,0.3633,0.7417,0.57,0.3783,0.27
8,,Away Batter 9,718258,686668,1.7202,0.1939,0.0,0.2189,0.4685,0.3155,0.2495,0.7381,2.9,0.2237,0.12,0.2712,0.6077,0.56,0.3365,0.93
9,,Home Batter 1,718258,663647,3.529,0.2627,0.1215,0.3086,0.7747,0.4634,0.4661,0.5969,3.76,0.2765,0.0,0.3143,0.6492,0.1,0.3348,0.7
10,,Home Batter 2,718258,668804,3.4308,0.2502,0.1825,0.301,0.7646,0.5124,0.4636,0.6996,3.83,0.3325,0.0,0.3557,0.8965,0.35,0.5408,0.85
11,,Home Batter 3,718258,457705,3.0212,0.2551,0.1258,0.3672,0.7667,0.398,0.3995,0.7435,3.14,0.1172,0.18,0.3068,0.57,0.44,0.2632,1.13
12,,Home Batter 4,718258,467793,3.1825,0.1933,0.1006,0.2938,0.6187,0.4063,0.3249,0.7107,3.46,0.2375,0.0,0.3542,0.6717,0.68,0.3175,0.4
13,,Home Batter 5,718258,656582,3.0288,0.2572,0.1037,0.3343,0.7729,0.3971,0.4386,0.7547,3.53,0.18,0.12,0.2445,0.6528,0.28,0.4083,1.48
14,,Home Batter 6,718258,666801,2.8148,0.2355,0.1184,0.2761,0.6654,0.4095,0.3893,0.8771,3.06,0.1895,0.06,0.2467,0.5547,0.22,0.308,1.15
15,,Home Batter 7,718258,669261,2.4375,0.3619,0.1571,0.4509,1.2402,0.3801,0.7893,0.9512,3.13,0.1585,0.17,0.301,0.6925,0.51,0.3915,1.48
16,,Home Batter 8,718258,572008,1.8003,0.07,0.0307,0.4355,0.5818,0.4144,0.1463,0.3032,1.85,0.255,0.02,0.4558,0.7692,0.16,0.3133,0.54
17,,Home Batter 9,718258,595978,2.5161,0.1264,0.033,0.1638,0.3397,0.1183,0.1759,0.7534,2.68,0.1392,0.0,0.2137,0.3562,0.2,0.1425,0.92
