,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717861,663538,3.7577,0.2821,0.0523,0.3211,0.7169,0.465,0.3958,0.4313,3.73,0.2467,0.12,0.347,0.7057,0.18,0.3587,0.41
1,,Away Batter 2,717861,621020,3.5887,0.2306,0.1052,0.3336,0.7206,0.3964,0.387,1.016,3.63,0.2992,0.15,0.3395,0.8152,0.57,0.4757,1.0
2,,Away Batter 3,717861,664023,3.3286,0.2875,0.1034,0.3892,0.8412,0.4717,0.452,0.9499,3.36,0.2292,0.0,0.3187,0.5945,0.3,0.2758,0.97
3,,Away Batter 4,717861,673548,2.9968,0.2365,0.1296,0.2865,0.6894,0.4372,0.4029,0.7917,3.57,0.1975,0.04,0.2752,0.5443,0.09,0.2692,1.42
4,,Away Batter 5,717861,543228,3.1775,0.2684,0.2131,0.2829,0.7867,0.6174,0.5039,0.556,3.37,0.2342,0.12,0.26,0.5867,0.31,0.3267,0.97
5,,Away Batter 6,717861,665804,1.625,0.2292,0.0,0.2292,0.4583,0.125,0.2292,0.125,2.11,0.34,0.16,0.34,0.915,0.53,0.575,0.55
6,,Away Batter 7,717861,643565,2.1653,0.2129,0.0681,0.3828,0.7647,0.2601,0.3818,0.7109,2.53,0.2467,0.0,0.3683,0.6283,0.31,0.26,0.83
7,,Away Batter 8,717861,621550,3.1543,0.2474,0.2661,0.3446,0.8655,0.5778,0.5209,1.2657,3.49,0.1135,0.16,0.1218,0.4047,0.4,0.2828,1.49
8,,Away Batter 9,717861,670223,1.8148,0.0957,0.0,0.1494,0.2728,0.1111,0.1235,0.7037,2.85,0.1108,0.12,0.215,0.4383,0.29,0.2233,0.98
9,,Home Batter 1,717861,621493,3.4831,0.2689,0.1359,0.3466,0.7836,0.4691,0.4369,0.7985,3.74,0.292,0.17,0.312,0.8015,0.48,0.4895,0.87
10,,Home Batter 2,717861,660271,3.6634,0.2766,0.223,0.3679,0.8887,0.6294,0.5208,0.9385,4.06,0.2652,0.32,0.3155,0.9617,0.84,0.6462,1.1
11,,Home Batter 3,717861,545361,3.5342,0.2808,0.2246,0.354,0.8762,0.5379,0.5221,1.0817,3.77,0.1778,0.18,0.281,0.6288,0.6,0.3478,1.33
12,,Home Batter 4,717861,543685,3.0589,0.2882,0.0806,0.3928,0.8363,0.61,0.4435,0.5313,3.44,0.3657,0.08,0.4395,0.9147,0.67,0.4752,0.41
13,,Home Batter 5,717861,642136,2.2352,0.2104,0.0302,0.3152,0.5794,0.178,0.2642,0.6433,2.95,0.2172,0.13,0.4285,0.7987,0.29,0.3702,0.85
14,,Home Batter 6,717861,592273,3.1982,0.2409,0.1426,0.274,0.7221,0.4941,0.4481,0.9842,3.82,0.3155,0.23,0.367,0.942,0.51,0.575,0.89
15,,Home Batter 7,717861,570482,3.4829,0.2963,0.0456,0.3265,0.7091,0.4078,0.3826,0.6081,3.34,0.3003,0.07,0.3843,0.8407,0.38,0.4563,0.61
16,,Home Batter 8,717861,666160,2.3363,0.2844,0.0853,0.3161,0.8171,0.2859,0.501,0.6173,3.67,0.2675,0.25,0.2685,0.8753,0.51,0.6068,1.21
17,,Home Batter 9,717861,650859,3.0719,0.2596,0.1247,0.3177,0.7454,0.4394,0.4277,0.5727,2.61,0.2275,0.12,0.269,0.664,0.18,0.395,0.61
