,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718072,641313,3.7959,0.2689,0.0294,0.3018,0.6534,0.356,0.3516,0.7108,3.9,0.2992,0.0,0.312,0.6112,0.09,0.2992,0.61
1,,Away Batter 2,718072,643217,3.3123,0.2404,0.0404,0.3104,0.6212,0.2717,0.3108,0.5652,3.49,0.3395,0.0,0.4112,0.8848,0.38,0.4737,0.68
2,,Away Batter 3,718072,673357,3.6954,0.24,0.1637,0.2845,0.7128,0.5292,0.4282,0.9937,3.62,0.3192,0.45,0.3392,1.1475,0.66,0.8083,1.09
3,,Away Batter 4,718072,660162,3.2762,0.2185,0.1833,0.3131,0.7331,0.4388,0.42,1.0101,3.61,0.3338,0.01,0.3607,0.7687,0.44,0.408,0.7
4,,Away Batter 5,718072,657757,2.6936,0.2471,0.1207,0.3051,0.7217,0.3969,0.4165,0.5819,3.08,0.2425,0.25,0.3033,0.742,0.6,0.4387,0.4
5,,Away Batter 6,718072,683734,3.4627,0.2664,0.1154,0.3299,0.7666,0.524,0.4367,0.7304,3.81,0.2135,0.14,0.2368,0.6038,0.54,0.367,0.82
6,,Away Batter 7,718072,518735,3.016,0.2101,0.0959,0.3086,0.6605,0.3426,0.3519,0.8063,3.48,0.3683,0.01,0.4042,0.825,0.14,0.4208,0.65
7,,Away Batter 8,718072,669394,2.6532,0.2434,0.2107,0.2958,0.8268,0.4973,0.531,0.9355,3.53,0.33,0.32,0.345,1.0242,0.98,0.6792,0.89
8,,Away Batter 9,718072,663853,2.6286,0.2228,0.1584,0.2532,0.7138,0.3849,0.4605,0.8854,1.84,0.25,0.0,0.25,0.76,0.44,0.51,0.65
9,,Home Batter 1,718072,680757,2.9154,0.2306,0.0064,0.3023,0.5781,0.2665,0.2758,0.3486,3.67,0.2508,0.02,0.3153,0.7112,0.18,0.3958,0.31
10,,Home Batter 2,718072,642708,3.7757,0.2454,0.0932,0.2764,0.6583,0.391,0.3819,0.8306,4.07,0.2413,0.0,0.2555,0.5753,0.33,0.3198,0.76
11,,Home Batter 3,718072,608070,2.9142,0.2513,0.0991,0.296,0.7054,0.4665,0.4093,0.4437,3.48,0.265,0.29,0.3748,0.964,0.69,0.5892,0.16
12,,Home Batter 4,718072,605137,3.34,0.2329,0.149,0.3306,0.7625,0.5022,0.4319,0.8038,3.35,0.2733,0.0,0.3705,0.6738,0.5,0.3033,0.71
13,,Home Batter 5,718072,665926,3.0722,0.2353,0.0715,0.3093,0.678,0.2339,0.3687,0.6285,3.54,0.1642,0.08,0.1942,0.4533,0.11,0.2592,0.52
14,,Home Batter 6,718072,672356,2.0988,0.2393,0.0247,0.2755,0.5658,0.1728,0.2903,0.7778,2.6,0.2692,0.19,0.3092,0.985,0.29,0.6758,0.9
15,,Home Batter 7,718072,686823,2.1899,0.1935,0.0378,0.2085,0.4968,0.3284,0.2883,0.3863,2.66,0.1717,0.0,0.1883,0.36,0.0,0.1717,0.26
16,,Home Batter 8,718072,572287,2.7378,0.1942,0.1305,0.281,0.6893,0.3446,0.4083,1.1681,2.94,0.09,0.04,0.1092,0.2392,0.14,0.13,1.88
17,,Home Batter 9,718072,664702,3.0777,0.2786,0.0173,0.3358,0.6997,0.228,0.3639,0.5891,3.02,0.1858,0.0,0.2758,0.6,0.19,0.3242,0.51
