,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718095,650402,3.3963,0.2469,0.1396,0.3071,0.7274,0.411,0.4203,0.6959,3.84,0.2407,0.09,0.345,0.6798,0.58,0.3348,0.49
1,,Away Batter 2,718095,592450,3.2728,0.3033,0.2447,0.3861,0.9827,0.5517,0.5966,1.0402,3.69,0.3498,0.66,0.4365,1.4603,1.38,1.0238,1.38
2,,Away Batter 3,718095,519203,3.35,0.2602,0.1557,0.3296,0.7632,0.4244,0.4337,0.7854,3.92,0.3077,0.41,0.3827,1.0643,0.9,0.6817,0.95
3,,Away Batter 4,718095,518934,3.443,0.2709,0.0965,0.3329,0.7257,0.4034,0.3927,0.8246,3.46,0.2025,0.11,0.326,0.6435,0.27,0.3175,0.88
4,,Away Batter 5,718095,664056,2.7389,0.2693,0.0407,0.3141,0.7572,0.3118,0.4431,0.5874,3.18,0.2305,0.09,0.2532,0.5978,0.54,0.3447,0.41
5,,Away Batter 6,718095,641343,2.1789,0.3639,0.0469,0.4326,0.8709,0.2328,0.4382,0.5272,2.61,0.2033,0.07,0.2963,0.5947,0.17,0.2983,1.05
6,,Away Batter 7,718095,683011,2.2451,0.158,0.0784,0.2527,0.524,0.183,0.2712,0.7072,3.55,0.2337,0.31,0.2835,0.8802,0.61,0.5967,1.32
7,,Away Batter 8,718095,643396,2.7441,0.1975,0.0326,0.2891,0.5466,0.2096,0.2575,0.5333,2.44,0.1683,0.11,0.2075,0.5642,0.11,0.3567,0.38
8,,Away Batter 9,718095,666163,1.5556,0.1204,0.0278,0.1528,0.331,0.1389,0.1782,0.625,2.37,0.2133,0.18,0.2525,0.6458,0.28,0.3933,0.75
9,,Home Batter 1,718095,663697,3.3615,0.2679,0.0725,0.3527,0.7601,0.4063,0.4073,0.6155,3.75,0.2897,0.08,0.362,0.7883,0.33,0.4263,1.25
10,,Home Batter 2,718095,680574,1.5667,0.7,0.6667,0.7056,2.4056,0.7,1.7,0.1333,2.3,0.3092,0.0,0.4875,0.9517,0.17,0.4642,0.7
11,,Home Batter 3,718095,641584,3.0228,0.2771,0.1243,0.3416,0.8368,0.6022,0.4953,0.8203,3.1,0.3093,0.24,0.4215,0.9708,1.18,0.5493,0.56
12,,Home Batter 4,718095,668715,2.8401,0.2386,0.0892,0.3175,0.7509,0.3316,0.4334,0.8367,3.75,0.259,0.14,0.373,0.825,0.43,0.452,0.74
13,,Home Batter 5,718095,663886,3.2701,0.2692,0.0403,0.3303,0.6938,0.4414,0.3635,0.8991,3.77,0.1962,0.13,0.2887,0.5828,0.38,0.2942,1.21
14,,Home Batter 6,718095,669222,3.2675,0.2412,0.0949,0.2988,0.6524,0.503,0.3536,0.667,3.68,0.2382,0.11,0.2937,0.673,0.48,0.3793,0.76
15,,Home Batter 7,718095,571976,3.3233,0.2368,0.0971,0.2934,0.6417,0.4427,0.3482,1.1539,3.28,0.1737,0.05,0.217,0.4507,0.14,0.2337,1.36
16,,Home Batter 8,718095,676480,2.7448,0.2252,0.0449,0.2772,0.6263,0.4281,0.3491,0.9887,3.27,0.2393,0.0,0.2798,0.6068,0.19,0.327,1.3
17,,Home Batter 9,718095,571912,2.3232,0.1817,0.0696,0.2778,0.6046,0.1811,0.3268,0.8566,2.44,0.3525,0.2,0.3825,1.145,0.32,0.7625,0.75
