,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718045,543760,3.7225,0.259,0.1479,0.3192,0.7582,0.5615,0.439,0.737,4.31,0.3393,0.07,0.3652,0.9018,0.75,0.5367,0.48
1,,Away Batter 2,718045,608369,3.1163,0.3889,0.192,0.4348,1.1141,0.4997,0.6793,0.5628,3.65,0.39,0.26,0.42,1.1475,1.17,0.7275,0.95
2,,Away Batter 3,718045,663993,3.4168,0.2681,0.1203,0.3584,0.7923,0.578,0.434,0.8574,3.82,0.375,0.05,0.459,0.97,0.39,0.511,0.87
3,,Away Batter 4,718045,666969,3.4176,0.2404,0.2023,0.316,0.7752,0.7427,0.4592,0.9518,3.49,0.2772,0.39,0.343,1.0182,0.94,0.6752,0.9
4,,Away Batter 5,718045,673962,3.0249,0.243,0.1787,0.2756,0.7286,0.5231,0.4531,0.9333,3.92,0.3508,0.33,0.4002,1.0285,0.88,0.6283,1.1
5,,Away Batter 6,718045,641680,3.1046,0.2838,0.164,0.3427,0.8303,0.5751,0.4876,0.5841,3.95,0.1737,0.0,0.2207,0.4193,0.42,0.1987,0.74
6,,Away Batter 7,718045,543257,3.0599,0.2851,0.1092,0.3742,0.8224,0.5034,0.4482,0.8289,4.08,0.2243,0.11,0.2652,0.5808,0.73,0.3157,1.32
7,,Away Batter 8,718045,669701,2.0322,0.2017,0.0444,0.2878,0.5664,0.2239,0.2786,0.5546,1.93,0.3042,0.15,0.5208,1.3042,0.19,0.7833,0.56
8,,Away Batter 9,718045,665750,3.2052,0.2486,0.0432,0.3235,0.6827,0.4162,0.3592,0.8848,3.46,0.3425,0.0,0.3908,0.7708,0.53,0.38,0.74
9,,Home Batter 1,718045,457705,3.2453,0.235,0.1543,0.3387,0.7289,0.4664,0.3902,0.8119,3.72,0.3492,0.06,0.452,0.8987,0.24,0.4467,0.79
10,,Home Batter 2,718045,668804,3.4633,0.2708,0.1497,0.3232,0.8073,0.5034,0.4841,0.7652,3.96,0.2297,0.09,0.285,0.6473,0.48,0.3623,0.79
11,,Home Batter 3,718045,663647,3.5795,0.2534,0.093,0.2987,0.7278,0.3953,0.4291,0.6417,3.82,0.199,0.0,0.241,0.571,0.61,0.33,0.78
12,,Home Batter 4,718045,467793,3.2642,0.2089,0.0852,0.3128,0.6484,0.4642,0.3356,0.646,3.54,0.1705,0.0,0.2933,0.5285,0.28,0.2352,0.93
13,,Home Batter 5,718045,656582,3.1138,0.2539,0.1185,0.3431,0.795,0.3828,0.452,0.8259,2.84,0.1543,0.07,0.2527,0.4695,0.31,0.2168,1.12
14,,Home Batter 6,718045,666801,2.9003,0.2268,0.1176,0.2768,0.666,0.403,0.3893,0.899,1.87,0.115,0.14,0.2723,0.5298,0.28,0.2575,0.56
15,,Home Batter 7,718045,669261,2.5345,0.3536,0.1366,0.4521,1.1956,0.4141,0.7436,0.9987,3.29,0.2042,0.02,0.3057,0.5848,0.26,0.2792,1.11
16,,Home Batter 8,718045,641511,1.9527,0.1342,0.0732,0.1872,0.4712,0.1761,0.2839,0.4179,2.62,0.2207,0.0,0.2498,0.5452,0.29,0.2953,0.82
17,,Home Batter 9,718045,572008,2.217,0.2228,0.114,0.3522,0.8179,0.331,0.4658,0.8032,2.04,0.132,0.0,0.2395,0.3782,0.08,0.1387,0.86
