,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718566,681082,2.9002,0.2028,0.0975,0.2432,0.5901,0.2297,0.3468,0.6668,4.45,0.3777,0.0,0.381,0.8377,0.36,0.4567,1.15
1,,Away Batter 2,718566,607208,3.3124,0.4498,0.2383,0.466,1.1963,0.8411,0.7303,0.4485,4.41,0.303,0.0,0.3425,0.6975,0.16,0.355,0.84
2,,Away Batter 3,718566,656941,3.1715,0.2464,0.1822,0.3351,0.8879,0.4476,0.5527,1.3047,3.62,0.2848,0.31,0.3785,0.9998,0.58,0.6213,1.08
3,,Away Batter 4,718566,592206,3.1139,0.2864,0.1664,0.37,0.9494,0.5766,0.5794,0.8628,3.71,0.3012,0.0,0.408,0.8678,0.64,0.4598,1.54
4,,Away Batter 5,718566,669016,2.7299,0.215,0.0631,0.3183,0.6636,0.3162,0.3454,1.0204,2.9,0.3947,0.15,0.5355,1.2357,0.74,0.7002,0.71
5,,Away Batter 6,718566,664761,3.1597,0.232,0.167,0.3117,0.759,0.4662,0.4472,0.6582,3.73,0.289,0.19,0.359,0.7945,1.01,0.4355,0.59
6,,Away Batter 7,718566,595909,2.7626,0.3669,0.1219,0.3992,1.0973,0.6581,0.6981,0.9147,2.87,0.1958,0.1,0.3075,0.5987,0.25,0.2912,0.69
7,,Away Batter 8,718566,624641,2.4822,0.3852,0.205,0.4244,1.1388,0.4758,0.7144,0.5756,2.57,0.2642,0.19,0.2642,0.8775,0.46,0.6133,0.8
8,,Away Batter 9,718566,596117,1.9691,0.1934,0.0545,0.2512,0.5801,0.2418,0.3288,0.5,2.92,0.1275,0.0,0.1647,0.3122,0.0,0.1475,1.12
9,,Home Batter 1,718566,663697,2.9849,0.2636,0.0839,0.3513,0.7622,0.4561,0.4109,0.4529,3.88,0.2673,0.04,0.35,0.7253,0.42,0.3753,0.59
10,,Home Batter 2,718566,668715,2.4651,0.2565,0.112,0.3551,0.8358,0.4339,0.4808,0.7155,3.29,0.31,0.11,0.381,0.8752,0.49,0.4942,0.47
11,,Home Batter 3,718566,656413,1.7585,0.1982,0.0163,0.299,0.5521,0.1512,0.2531,0.6116,1.46,0.2433,0.07,0.3942,1.0108,0.24,0.6167,0.41
12,,Home Batter 4,718566,663886,3.1216,0.2588,0.0653,0.3225,0.6743,0.4714,0.3518,0.7172,3.62,0.2583,0.0,0.337,0.6287,0.61,0.2917,1.07
13,,Home Batter 5,718566,571976,3.1391,0.2433,0.0844,0.2826,0.6202,0.3792,0.3375,1.0396,3.65,0.2467,0.0,0.3205,0.6038,0.39,0.2833,1.17
14,,Home Batter 6,718566,669222,3.2452,0.2557,0.0606,0.3172,0.678,0.2957,0.3608,0.5636,2.96,0.0833,0.04,0.115,0.245,0.04,0.13,0.8
15,,Home Batter 7,718566,670770,2.7186,0.2501,0.0675,0.2819,0.6882,0.4512,0.4063,0.6141,3.41,0.3223,0.11,0.4728,1.0117,0.23,0.5388,0.74
16,,Home Batter 8,718566,676480,2.6086,0.2189,0.0068,0.2588,0.6321,0.3226,0.3733,1.0971,2.84,0.255,0.11,0.33,0.735,0.56,0.405,0.81
17,,Home Batter 9,718566,592200,2.9142,0.2904,0.0241,0.3242,0.768,0.4415,0.4438,0.9486,2.6,0.225,0.02,0.3208,0.5958,0.11,0.275,0.37
