,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718529,687263,0.6667,0.0,0.0,0.1667,0.1667,0.0,0.0,0.1667,2.57,0.224,0.0,0.304,0.683,0.15,0.379,0.48
1,,Away Batter 2,718529,545361,2.7935,0.2463,0.1549,0.3296,0.7735,0.4812,0.4439,0.7331,3.73,0.2745,0.16,0.3575,0.862,0.52,0.5045,1.25
2,,Away Batter 3,718529,660271,2.6539,0.3322,0.0869,0.4974,1.0137,0.2076,0.5163,0.6338,3.9,0.2802,0.15,0.3642,0.7772,0.46,0.413,0.92
3,,Away Batter 4,718529,621493,3.0737,0.3186,0.1717,0.3757,0.936,0.5297,0.5602,0.6527,3.7,0.1503,0.04,0.2347,0.419,0.1,0.1843,0.88
4,,Away Batter 5,718529,543685,2.607,0.3015,0.1843,0.4323,0.9903,0.684,0.558,0.4424,3.0,0.3225,0.0,0.4548,0.8623,0.68,0.4075,0.19
5,,Away Batter 6,718529,592669,2.9241,0.2812,0.2084,0.3289,0.9022,0.5055,0.5733,0.5226,3.64,0.2898,0.33,0.3905,1.0143,1.24,0.6238,0.9
6,,Away Batter 7,718529,570482,3.0632,0.3303,0.0333,0.3745,0.8121,0.3584,0.4376,0.3735,3.83,0.2897,0.1,0.3362,0.7183,0.64,0.3822,0.69
7,,Away Batter 8,718529,592273,2.8393,0.2535,0.1206,0.3201,0.7775,0.4349,0.4573,0.8841,3.33,0.2317,0.08,0.27,0.6018,0.41,0.3318,1.12
8,,Away Batter 9,718529,681351,2.3105,0.2478,0.0791,0.3267,0.7563,0.4668,0.4296,0.9334,3.43,0.2468,0.28,0.3002,0.7808,0.64,0.4807,1.22
9,,Home Batter 1,718529,518934,3.1097,0.3082,0.0965,0.369,0.7779,0.3201,0.4089,0.5913,3.64,0.2278,0.07,0.275,0.664,0.37,0.389,1.13
10,,Home Batter 2,718529,592450,2.8693,0.3715,0.1877,0.4272,1.1096,0.5276,0.6825,0.6893,3.36,0.2697,0.31,0.3927,0.9898,0.41,0.5972,1.17
11,,Home Batter 3,718529,519203,2.9194,0.224,0.1145,0.3256,0.706,0.3154,0.3804,0.7611,3.72,0.3445,0.37,0.385,1.037,0.67,0.652,0.65
12,,Home Batter 4,718529,650402,3.1899,0.2498,0.1655,0.2722,0.7005,0.5207,0.4283,0.8286,3.07,0.2383,0.05,0.331,0.7318,0.2,0.4008,0.77
13,,Home Batter 5,718529,665828,2.6278,0.3189,0.1704,0.3631,0.8882,0.5648,0.525,0.5731,3.56,0.235,0.0,0.255,0.5325,0.4,0.2775,1.2
14,,Home Batter 6,718529,543305,2.6958,0.2557,0.0753,0.322,0.7093,0.1691,0.3873,0.9374,1.86,0.18,0.0,0.2208,0.4008,0.13,0.18,0.41
15,,Home Batter 7,718529,624431,2.5104,0.2429,0.1205,0.3153,0.7344,0.7899,0.419,0.3174,3.08,0.1833,0.08,0.2375,0.5008,0.35,0.2633,0.49
16,,Home Batter 8,718529,672724,1.6519,0.1108,0.0185,0.1873,0.3343,0.0704,0.1469,0.4259,2.99,0.1733,0.07,0.2233,0.51,0.07,0.2867,0.45
17,,Home Batter 9,718529,683011,2.0965,0.1959,0.1053,0.2906,0.6561,0.1754,0.3655,0.593,2.8,0.1967,0.11,0.2958,0.66,0.11,0.3642,1.05
