,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,717991,606132,2.5198,0.2635,0.0756,0.3265,0.7674,0.3077,0.4409,0.4621,3.16,0.2935,0.0,0.3322,0.6632,0.21,0.331,0.44
1,,Away Batter 2,717991,657077,3.6735,0.2998,0.107,0.3481,0.787,0.4544,0.4389,0.5426,3.92,0.2412,0.0,0.288,0.6393,0.21,0.3513,0.64
2,,Away Batter 3,717991,457759,3.4352,0.2684,0.0867,0.3461,0.7383,0.4218,0.3922,0.5549,3.45,0.21,0.19,0.361,0.7555,0.5,0.3945,0.86
3,,Away Batter 4,717991,807799,2.3725,0.2088,0.1373,0.2588,0.6582,0.5098,0.3993,0.2941,4.1,0.2583,0.0,0.288,0.6392,0.34,0.3512,0.66
4,,Away Batter 5,717991,680776,3.0412,0.3083,0.0943,0.3541,0.9158,0.4219,0.5617,0.8745,3.59,0.1733,0.07,0.2017,0.4575,0.33,0.2558,1.31
5,,Away Batter 6,717991,671213,2.5861,0.1897,0.123,0.3033,0.6441,0.394,0.3409,0.8286,3.01,0.2745,0.11,0.3537,0.8012,0.26,0.4475,1.0
6,,Away Batter 7,717991,571771,3.4596,0.2127,0.0885,0.2764,0.6218,0.3429,0.3454,0.7911,3.37,0.2333,0.12,0.3295,0.7537,0.63,0.4242,0.66
7,,Away Batter 8,717991,665839,2.0688,0.1768,0.087,0.2517,0.5865,0.2609,0.3348,0.5471,2.92,0.1442,0.14,0.1933,0.465,0.34,0.2717,0.87
8,,Away Batter 9,717991,624512,2.513,0.2329,0.0302,0.3018,0.6303,0.3124,0.3285,0.5294,2.59,0.185,0.0,0.1983,0.3833,0.15,0.185,0.99
9,,Home Batter 1,717991,656976,2.9235,0.2389,0.0999,0.3489,0.7185,0.4828,0.3696,0.6412,3.34,0.1347,0.17,0.165,0.4257,0.38,0.2607,0.83
10,,Home Batter 2,717991,606466,3.6131,0.2558,0.1145,0.3129,0.7748,0.4211,0.4619,0.6267,4.17,0.316,0.08,0.3767,0.7928,0.34,0.416,0.77
11,,Home Batter 3,717991,682998,2.6532,0.257,0.0825,0.3166,0.7611,0.2994,0.4445,0.7254,3.54,0.2875,0.16,0.4118,0.9843,0.46,0.5725,0.61
12,,Home Batter 4,717991,572233,3.4936,0.2636,0.1899,0.3195,0.8037,0.6172,0.4842,0.6707,3.74,0.1055,0.13,0.2293,0.4593,0.46,0.23,1.1
13,,Home Batter 5,717991,666971,3.456,0.2837,0.1222,0.3417,0.8106,0.5272,0.4689,0.6296,4.16,0.342,0.23,0.373,1.064,0.68,0.691,0.71
14,,Home Batter 6,717991,668942,3.3778,0.2573,0.0304,0.3256,0.6792,0.465,0.3537,0.866,2.82,0.1643,0.0,0.298,0.5328,0.24,0.2348,0.79
15,,Home Batter 7,717991,672515,2.7531,0.2986,0.0851,0.3282,0.7364,0.3996,0.4082,0.4889,3.1,0.2533,0.11,0.3358,0.775,0.35,0.4392,0.66
16,,Home Batter 8,717991,664983,2.8465,0.2016,0.0183,0.2581,0.5309,0.2411,0.2728,0.5322,2.32,0.04,0.1,0.1335,0.251,0.11,0.1175,0.58
17,,Home Batter 9,717991,672695,2.3475,0.2604,0.0516,0.3759,0.7555,0.4214,0.3796,0.4956,2.97,0.1825,0.15,0.3473,0.6932,0.46,0.3458,0.69
