,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718155,457705,3.194,0.2478,0.1559,0.3525,0.7587,0.4258,0.4062,0.7782,3.18,0.201,0.18,0.3825,0.7545,0.45,0.372,1.42
1,,Away Batter 2,718155,668804,3.4447,0.2504,0.1649,0.3053,0.7636,0.5111,0.4583,0.7658,3.93,0.2492,0.0,0.2695,0.6245,0.06,0.355,0.98
2,,Away Batter 3,718155,467793,3.2554,0.2024,0.0923,0.3006,0.6307,0.4188,0.3301,0.687,3.37,0.1475,0.0,0.2715,0.449,0.4,0.1775,0.76
3,,Away Batter 4,718155,669261,2.5119,0.3697,0.1361,0.4597,1.2376,0.3818,0.7779,0.9698,2.82,0.19,0.08,0.3108,0.6125,0.22,0.3017,1.33
4,,Away Batter 5,718155,663647,3.5881,0.2595,0.106,0.3081,0.762,0.4447,0.4539,0.6187,3.67,0.2423,0.0,0.2995,0.5818,0.12,0.2823,0.98
5,,Away Batter 6,718155,672779,2.1231,0.1872,0.0134,0.2926,0.5877,0.1999,0.2952,0.5019,2.37,0.3125,0.09,0.3358,0.8933,0.14,0.5575,0.41
6,,Away Batter 7,718155,678225,2.5025,0.2114,0.0317,0.2545,0.5137,0.2564,0.2591,0.6344,2.59,0.2183,0.0,0.24,0.5483,0.24,0.3083,0.75
7,,Away Batter 8,718155,641943,1.9276,0.2231,0.0673,0.2538,0.6697,0.2778,0.4159,0.5168,1.77,0.1675,0.0,0.1775,0.365,0.0,0.1875,0.52
8,,Away Batter 9,718155,641511,1.751,0.1285,0.0863,0.1764,0.481,0.1607,0.3046,0.4157,2.83,0.282,0.0,0.3412,0.7318,0.45,0.3907,0.53
9,,Home Batter 1,718155,656716,2.4758,0.1626,0.0654,0.2517,0.5497,0.2265,0.2981,0.6764,2.62,0.3108,0.0,0.4473,0.7698,0.15,0.3225,0.36
10,,Home Batter 2,718155,682985,3.1101,0.2705,0.1169,0.3274,0.775,0.4074,0.4476,1.0174,4.01,0.37,0.05,0.404,0.928,0.56,0.524,1.03
11,,Home Batter 3,718155,595879,3.4581,0.2258,0.0532,0.2518,0.5833,0.4253,0.3316,0.8217,4.12,0.2953,0.15,0.3088,0.7767,0.59,0.4678,0.54
12,,Home Batter 4,718155,679529,2.9735,0.2026,0.0571,0.2523,0.5487,0.2989,0.2964,0.8102,3.74,0.2542,0.08,0.3117,0.6928,0.42,0.3812,0.66
13,,Home Batter 5,718155,665155,2.642,0.2332,0.166,0.3159,0.7893,0.4332,0.4734,0.757,2.65,0.1058,0.0,0.13,0.305,0.27,0.175,1.02
14,,Home Batter 6,718155,668731,2.6804,0.2166,0.0932,0.3046,0.6433,0.1901,0.3387,0.8054,3.21,0.2287,0.0,0.267,0.5742,0.31,0.3072,0.61
15,,Home Batter 7,718155,408234,3.0736,0.2158,0.0739,0.2565,0.5893,0.3461,0.3327,0.68,3.62,0.1802,0.0,0.2552,0.4445,0.13,0.1893,0.82
16,,Home Batter 8,718155,628451,2.3903,0.2494,0.0236,0.2936,0.5881,0.0888,0.2945,0.3978,3.05,0.3208,0.08,0.3475,0.8875,0.39,0.54,0.33
17,,Home Batter 9,718155,606992,2.9381,0.2756,0.1179,0.3151,0.7853,0.4097,0.4702,0.9151,3.27,0.2308,0.11,0.2588,0.5872,0.45,0.3283,0.85
