,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718071,669242,3.365,0.2266,0.1114,0.3105,0.6726,0.3569,0.3621,0.6037,2.97,0.3182,0.08,0.3382,0.801,0.36,0.4628,0.35
1,,Away Batter 2,718071,502671,3.5892,0.2951,0.1581,0.3689,0.8734,0.5322,0.5045,0.7646,3.48,0.1845,0.06,0.398,0.6592,0.31,0.2612,1.24
2,,Away Batter 3,718071,575929,3.2365,0.2574,0.0978,0.3324,0.7399,0.4388,0.4075,0.832,4.11,0.1722,0.23,0.251,0.6153,0.81,0.3643,1.06
3,,Away Batter 4,718071,571448,3.6145,0.2933,0.1319,0.334,0.8081,0.5479,0.4741,0.7084,4.1,0.4018,0.45,0.4348,1.2282,1.24,0.7933,0.76
4,,Away Batter 5,718071,660766,2.4914,0.221,0.0641,0.2591,0.621,0.5357,0.3619,0.5559,2.14,0.1308,0.15,0.1425,0.4108,0.15,0.2683,0.84
5,,Away Batter 6,718071,669357,2.9127,0.2371,0.1742,0.3157,0.7626,0.6227,0.4469,0.9785,3.35,0.4547,0.52,0.5238,1.6042,1.39,1.0803,0.8
6,,Away Batter 7,718071,657557,2.8483,0.2444,0.1836,0.3479,0.8333,0.4104,0.4855,0.647,3.36,0.2262,0.41,0.3093,0.889,0.9,0.5797,1.15
7,,Away Batter 8,718071,640458,1.9966,0.159,0.0137,0.1722,0.3541,0.2898,0.1819,0.3867,2.78,0.325,0.0,0.325,0.765,0.64,0.44,0.49
8,,Away Batter 9,718071,668800,2.7972,0.147,0.0106,0.1824,0.3574,0.1021,0.175,0.6761,3.05,0.2485,0.23,0.2552,0.9577,0.77,0.7025,0.58
9,,Home Batter 1,718071,663697,3.3943,0.2701,0.0714,0.3523,0.7586,0.4091,0.4062,0.616,3.68,0.232,0.04,0.3403,0.6798,0.24,0.3395,1.22
10,,Home Batter 2,718071,680574,1.1222,0.2556,0.2222,0.4833,1.0722,0.2556,0.5889,0.3556,2.64,0.245,0.0,0.4175,0.78,0.14,0.3625,1.13
11,,Home Batter 3,718071,668715,2.8763,0.2347,0.1011,0.3116,0.7468,0.3343,0.4352,0.8242,3.88,0.2763,0.08,0.372,0.8083,0.53,0.4363,0.8
12,,Home Batter 4,718071,663886,3.2793,0.2655,0.04,0.3258,0.6845,0.4355,0.3587,0.8855,3.73,0.175,0.13,0.28,0.551,0.36,0.271,1.47
13,,Home Batter 5,718071,669222,3.3157,0.2505,0.1208,0.3044,0.6845,0.4956,0.3801,0.6522,3.74,0.19,0.09,0.238,0.543,0.39,0.305,1.17
14,,Home Batter 6,718071,656413,1.8503,0.1886,0.0473,0.277,0.6188,0.2346,0.3418,0.6509,2.58,0.186,0.0,0.236,0.508,0.42,0.272,0.78
15,,Home Batter 7,718071,571976,3.3354,0.2325,0.0955,0.2882,0.6304,0.4348,0.3422,1.1507,3.31,0.1517,0.05,0.19,0.3992,0.14,0.2092,1.29
16,,Home Batter 8,718071,676480,2.7311,0.22,0.0438,0.2772,0.6182,0.418,0.341,0.9903,3.23,0.2595,0.0,0.2928,0.6302,0.16,0.3373,1.38
17,,Home Batter 9,718071,592200,2.692,0.233,0.0612,0.3193,0.6625,0.2564,0.3432,0.6152,1.58,0.04,0.0,0.1417,0.1817,0.0,0.04,0.48
