,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718168,665487,3.3243,0.2773,0.1909,0.3494,0.8853,0.4785,0.5359,0.8995,4.4,0.3127,0.27,0.333,0.8957,0.48,0.5627,0.97
1,,Away Batter 2,718168,592518,3.6044,0.2593,0.1034,0.2973,0.6868,0.4719,0.3895,0.8514,4.15,0.2302,0.2,0.2528,0.6755,0.69,0.4227,0.78
2,,Away Batter 3,718168,665742,3.3105,0.2581,0.1708,0.3996,0.8591,0.5256,0.4595,0.847,3.74,0.426,0.24,0.5085,1.3462,0.71,0.8377,0.51
3,,Away Batter 4,718168,593428,3.4469,0.2859,0.14,0.3675,0.8346,0.4815,0.4671,0.5302,3.95,0.1655,0.04,0.2348,0.4785,0.19,0.2437,0.94
4,,Away Batter 5,718168,630105,3.2891,0.2759,0.116,0.3484,0.8488,0.4518,0.5004,0.6884,3.31,0.1775,0.0,0.3675,0.555,0.06,0.1875,0.78
5,,Away Batter 6,718168,443558,3.3429,0.2656,0.1262,0.2976,0.7126,0.5345,0.415,0.8504,2.66,0.2267,0.05,0.2267,0.5167,0.2,0.29,0.73
6,,Away Batter 7,718168,673490,3.1215,0.2054,0.0659,0.2679,0.5887,0.3384,0.3208,0.8124,3.18,0.2558,0.17,0.323,0.7763,0.57,0.4533,0.96
7,,Away Batter 8,718168,663757,3.2312,0.2199,0.1671,0.3142,0.7675,0.4751,0.4532,0.9766,2.83,0.1185,0.0,0.224,0.375,0.11,0.151,1.23
8,,Away Batter 9,718168,664954,1.6667,0.2401,0.0,0.2818,0.6451,0.4981,0.3633,0.1352,2.1,0.1167,0.08,0.1283,0.355,0.33,0.2267,0.49
9,,Home Batter 1,718168,605141,3.4668,0.2667,0.1927,0.3545,0.8697,0.4598,0.5152,0.7129,3.72,0.249,0.35,0.3525,0.9668,0.76,0.6143,0.61
10,,Home Batter 2,718168,518692,3.4738,0.2918,0.17,0.3755,0.864,0.5161,0.4886,0.641,3.98,0.3478,0.26,0.4085,1.117,0.89,0.7085,0.83
11,,Home Batter 3,718168,502110,3.3346,0.2522,0.1126,0.3061,0.7499,0.537,0.4438,1.0066,3.73,0.2363,0.36,0.2937,0.8837,0.82,0.59,1.19
12,,Home Batter 4,718168,571970,2.9768,0.24,0.2513,0.3747,0.8988,0.5932,0.5241,1.0345,3.77,0.1215,0.11,0.2122,0.4207,0.61,0.2085,1.21
13,,Home Batter 5,718168,678246,2.2973,0.1662,0.0278,0.2932,0.5477,0.2157,0.2545,0.7666,3.74,0.1633,0.27,0.2128,0.6478,0.78,0.435,0.77
14,,Home Batter 6,718168,621035,3.0101,0.1655,0.1711,0.2624,0.6293,0.395,0.3669,1.2602,3.2,0.2883,0.18,0.3143,1.0693,0.54,0.755,0.94
15,,Home Batter 7,718168,681546,2.5472,0.3039,0.1806,0.398,1.0052,0.6167,0.6072,0.8806,3.17,0.1983,0.08,0.2825,0.6258,0.23,0.3433,1.01
16,,Home Batter 8,718168,500743,2.9846,0.2598,0.0737,0.3147,0.7151,0.2885,0.4004,0.3474,2.62,0.18,0.0,0.265,0.445,0.09,0.18,0.37
17,,Home Batter 9,718168,605131,2.6505,0.1362,0.0304,0.1861,0.3867,0.2189,0.2006,0.5854,2.83,0.2292,0.0,0.3655,0.6222,0.45,0.2567,1.08
