,f1,index,game_id,player_id,career_atBats,career_avg,career_homeRuns,career_obp,career_ops,career_rbi,career_slg,career_strikeOuts,recent_atBats,recent_avg,recent_homeRuns,recent_obp,recent_ops,recent_rbi,recent_slg,recent_strikeOuts
0,,Away Batter 1,718033,542932,2.9015,0.244,0.0602,0.3626,0.7031,0.2816,0.3405,0.6998,3.49,0.238,0.0,0.279,0.5295,0.21,0.2505,0.8
1,,Away Batter 2,718033,624585,3.382,0.2187,0.1687,0.2897,0.7346,0.3858,0.4449,0.9765,4.01,0.293,0.49,0.3705,1.0315,0.97,0.661,0.9
2,,Away Batter 3,718033,493329,3.4451,0.2874,0.0961,0.3183,0.7176,0.355,0.3994,0.3916,3.78,0.3237,0.06,0.3602,0.7848,0.41,0.4247,0.31
3,,Away Batter 4,718033,650559,3.1659,0.2528,0.0709,0.2986,0.69,0.3058,0.3915,0.9404,3.53,0.3608,0.21,0.4455,1.0547,0.53,0.6092,0.66
4,,Away Batter 5,718033,663743,2.4736,0.1845,0.0876,0.2462,0.5175,0.2377,0.2714,0.5459,3.51,0.2567,0.11,0.2767,0.6158,0.28,0.3392,0.47
5,,Away Batter 6,718033,516416,3.3151,0.237,0.031,0.2846,0.5868,0.2282,0.3023,0.5721,3.56,0.1775,0.0,0.2428,0.4687,0.17,0.2258,0.61
6,,Away Batter 7,718033,641505,1.8401,0.1755,0.0042,0.221,0.4269,0.0346,0.2059,0.4463,1.7,0.2167,0.12,0.3442,0.6508,0.14,0.3067,0.75
7,,Away Batter 8,718033,641658,2.5422,0.1812,0.0348,0.2153,0.5128,0.1672,0.2976,0.7215,2.87,0.2062,0.0,0.2287,0.4893,0.07,0.2607,0.8
8,,Away Batter 9,718033,669364,1.3929,0.2083,0.0,0.2202,0.4405,0.0476,0.2202,0.0357,1.99,0.2883,0.0,0.2983,0.6467,0.18,0.3483,0.37
9,,Home Batter 1,718033,686668,1.8711,0.1962,0.0,0.2253,0.4867,0.3227,0.2614,0.6691,3.19,0.222,0.22,0.2587,0.7402,0.68,0.4815,1.32
10,,Home Batter 2,718033,592178,3.3776,0.2753,0.1591,0.3579,0.8309,0.3945,0.473,0.76,3.82,0.1998,0.02,0.2703,0.5097,0.4,0.2393,0.46
11,,Home Batter 3,718033,553869,3.2058,0.2938,0.1218,0.3507,0.7977,0.4738,0.447,0.7067,3.68,0.372,0.22,0.4283,1.1003,0.73,0.672,0.55
12,,Home Batter 4,718033,545341,3.8341,0.4144,0.0494,0.4268,1.0084,0.1847,0.5816,0.9402,3.71,0.293,0.04,0.3503,0.7298,0.54,0.3795,0.76
13,,Home Batter 5,718033,641857,3.258,0.2318,0.1326,0.3133,0.7289,0.4387,0.4156,1.1936,3.53,0.1902,0.0,0.29,0.5605,0.3,0.2705,1.15
14,,Home Batter 6,718033,678662,2.5433,0.2139,0.0874,0.2597,0.6152,0.3535,0.3555,0.6498,3.39,0.2148,0.08,0.2228,0.5788,0.23,0.356,1.06
15,,Home Batter 7,718033,676701,2.466,0.2227,0.0404,0.2636,0.5964,0.246,0.3329,0.5573,3.07,0.1573,0.0,0.1765,0.3583,0.36,0.1818,0.78
16,,Home Batter 8,718033,669911,2.4155,0.2166,0.1078,0.2724,0.618,0.2543,0.3455,0.7938,2.39,0.2043,0.05,0.2435,0.5963,0.19,0.3528,0.82
17,,Home Batter 9,718033,642851,1.9133,0.145,0.1687,0.2568,0.6539,0.2501,0.3971,0.4893,2.69,0.1592,0.03,0.2275,0.455,0.5,0.2275,1.31
