Game ID,Date,Away Team,Away Score,Away ML Open,Away ML Close,Over Open,Over Open Odds,Over Close,Over Close Odds,Home Team,Home Score,Home ML Open,Home ML Close,Under Open,Under Open Odds,Under Close,Under Close Odds
3364568,20090405,ATL,4,120,117,8.5,-105,8.5,-106,PHI,1,-130,-122,8.5,-115,8.5,-104
3364569,20090406,NYM,2,-158,-149,7.5,100,7.5,-105,CIN,1,148,139,7.5,-120,7.5,-115
3364570,20090406,CLE,1,-123,-117,10,-105,10,106,TEX,9,113,112,10,-115,10,-116
3364571,20090406,COL,8,155,158,7.5,-125,7.5,-118,ARI,9,-165,-164,7.5,105,7.5,108
3364572,20090406,NYY,5,-200,-179,8.5,-110,8.5,-115,BAL,10,170,169,8.5,-110,8.5,-105
3364573,20090406,WAS,6,151,153,8,-115,8.5,-115,FLO,12,-161,-158,8,-105,8.5,105
3364574,20090406,PIT,6,168,169,8,100,7.5,100,SLC,4,-183,-176,8,-120,7.5,-110
3364575,20090406,LAD,4,121,117,6.5,-120,6.5,-122,SD,1,-131,-127,6.5,100,6.5,112
