Betting Day,Date,Home Team,Away Team,Bet,American Odds,Decimal Odds,Result,running W,n. bets,running % wins,1st positive threshold,2nd positive threshold,1st negative threshold,2nd negative threshold,RC,Risk,P/L
239,16/06/2024,Cardinals,Cubs,Cubs,-122,1.82,L,475,958,0.4958,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
240,17/06/2024,Red Sox,Blue Jays,Red Sox,112,2.12,W,476,959,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.23
240,17/06/2024,Mets,Rangers,Mets,121,2.21,W,477,960,0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.33
240,17/06/2024,Giants,Cubs,Cubs,-110,1.91,L,477,961,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
241,18/06/2024,Diamonbacks,Nationals,Nationals,-115,1.87,L,477,962,0.4958,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
241,18/06/2024,Red Sox,Jays,Jays,115,2.15,L,477,963,0.4953,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
241,18/06/2024,Reds,Pirates,Pirates,114,2.14,L,477,964,0.4948,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
241,18/06/2024,Brewers,Angels,Angels,140,2.4,L,477,965,0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
241,18/06/2024,Mets,Rangers,Mets,-117,1.85,W,478,966,0.4948,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.94
241,18/06/2024,Padres,Phillies,Padres,130,2.3,L,478,967,0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
241,18/06/2024,Giants,Cubs,Cubs,-105,1.95,W,479,968,0.4948,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.05
241,18/06/2024,Mariners,Guardians,Mariners,118,2.18,W,480,969,0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.30
242,19/06/2024,Diamonbacks,Nationals,Nationals,146,2.46,W,481,970,0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.61
242,19/06/2024,Reds,Pirates,Reds,121,2.21,L,481,971,0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
242,19/06/2024,Mariners,Guardians,Mariners,138,2.38,L,481,972,0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
243,20/06/2024,Diamonbacks,Nationals,Diamondbacks,135,2.35,W,482,973,0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.49
243,20/06/2024,Giants,Cardinals,Cardinals,105,2.05,W,483,974,0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.16
244,21/06/2024,Diamonbacks,Phillies,Diamondbacks,126,2.26,W,484,975,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.39
244,21/06/2024,Red Sox,Reds,Reds,101,2.01,W,485,976,0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.11
244,21/06/2024,Royals,Rangers,Royals,131,2.31,L,485,977,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
245,22/06/2024,Braves,Yankees,Yankees,-125,1.8,W,486,978,0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.88
245,22/06/2024,Red Sox,Reds,Reds,112,2.12,L,486,979,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
245,22/06/2024,Mets,Cubs,Mets,-112,1.89,L,486,980,0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
245,22/06/2024,Giants,Cardinals,Cardinals,-113,1.88,W,487,981,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.97
245,22/06/2024,Rays,Pirates,Pirates,-103,1.97,W,488,982,0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.07
246,23/06/2024,Braves,Yankees,Yankees,-112,1.89,L,488,983,0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
246,23/06/2024,Brewers,Padres,Padres,-122,1.82,L,488,984,0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
246,23/06/2024,Mets,Cubs,Cubs,-103,1.97,L,488,985,0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
247,24/06/2024,Athletics,Angels,Athletics,131,2.31,L,488,986,0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
247,24/06/2024,Mariners,Rays,Rays,-107,1.93,W,489,987,0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.02
248,25/06/2024,Twins,Diamondbacks,Diamondbacks,117,2.17,W,490,988,0.496,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.29
248,25/06/2024,Pirates,Reds,Pirates,117,2.17,W,491,989,0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.29
248,25/06/2024,Mariners,Rays,Rays,115,2.15,W,492,990,0.497,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.27
249,26/06/2024,Twins,Diamondbacks,Diamondbacks,113,2.13,L,492,991,0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
249,26/06/2024,Yankees,Mets,Mets,115,2.15,W,493,992,0.497,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.27
249,26/06/2024,Pirates,Reds,Reds,-124,1.81,L,493,993,0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
249,26/06/2024,Mariners,Rays,Mariners,102,2.02,W,494,994,0.497,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.12
250,27/06/2024,Cubs,Giants,Giants,-101,1.99,L,494,995,0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
250,27/06/2024,Reds,Cardinals,Cardinals,-136,1.74,L,494,996,0.496,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
250,27/06/2024,Guardians,Royals,Royals,-101,1.99,W,495,997,0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.09
250,27/06/2024,Yankees,Blue Jays,Blue Jays,118,2.18,W,496,998,0.497,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.30
251,28/06/2024,Cubs,Brewers,Brewers,-123,1.81,W,497,999,0.4975,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.89
251,28/06/2024,Guardians,Royals,Royals,-102,1.98,W,498,"1,000",0.498,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.08
251,28/06/2024,Astros,Mets,Mets,-107,1.93,W,499,"1,001",0.4985,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.02
252,29/06/2024,Guardians,Royals,Royals,-101,1.99,L,499,"1,002",0.498,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
252,29/06/2024,Tigers,Angels,Angels,105,2.05,W,500,"1,003",0.4985,0.5025,0.5075,0.4975,0.4925,0,1,1.05
252,29/06/2024,Astros,Mets,Mets,-108,1.93,L,500,"1,004",0.498,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
252,29/06/2024,Twins,Mariners,Mariners,106,2.06,L,500,"1,005",0.4975,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
252,29/06/2024,Yankees,Blue Jays,Blue Jays,124,2.24,W,501,"1,006",0.498,0.5025,0.5075,0.4975,0.4925,0,1,1.24
252,29/06/2024,Nationals,Rays,Rays,-132,1.76,L,501,"1,007",0.4975,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
253,30/06/2024,Reds,Cardinals,Cardinals,-107,1.93,W,502,"1,008",0.498,0.5025,0.5075,0.4975,0.4925,0,1,0.93
253,30/06/2024,Tigers,Angels,Angels,-103,1.97,L,502,"1,009",0.4975,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
253,30/06/2024,Twins,Mariners,Mariners,101,2.01,L,502,"1,010",0.497,0.5025,0.5075,0.4975,0.4925,0,1,-1.00
254,2/7/2024,Orioles,Mariners,Mariners,102,2.02,L,502,"1,011",0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
254,2/7/2024,Tigers,Twins,Tigers,115,2.15,L,502,"1,012",0.496,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
254,2/7/2024,Padres,Rangers,Rangers,104,2.04,W,503,"1,013",0.4965,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.14
254,2/7/2024,Rays,Royals,Rays,104,2.04,W,504,"1,014",0.497,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.14
255,3/7/2024,Orioles,Mariners,Orioles,126,2.26,W,505,"1,015",0.4975,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.39
255,3/7/2024,Red Sox,Marlins,Marlins,117,2.17,L,505,"1,016",0.497,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
255,3/7/2024,Phillies,Cubs,Cubs,104,2.04,L,505,"1,017",0.4966,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
255,3/7/2024,Rays,Royals,Royals,-103,1.97,W,506,"1,018",0.4971,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.07
256,4/7/2024,Orioles,Mariners,Mariners,136,2.36,W,507,"1,019",0.4975,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.50
256,4/7/2024,Astros,Blue Jays,Astros,-101,1.99,W,508,"1,020",0.498,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.09
256,4/7/2024,Mets,Nationals,Mets,-110,1.91,L,508,"1,021",0.4976,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
256,4/7/2024,Phillies,Cubs,Cubs,111,2.11,W,509,"1,022",0.498,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.22
256,4/7/2024,Cardinals,Pirates,Pirates,-102,1.98,L,509,"1,023",0.4976,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
256,4/7/2024,Rays,Royals,Royals,101,2.01,L,509,"1,024",0.4971,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
257,5/7/2024,Diamonbacks,Padres,Padres,102,2.02,W,510,"1,025",0.4976,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.12
257,5/7/2024,Mets,Pirates,Mets,123,2.23,L,510,"1,026",0.4971,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
257,5/7/2024,Phillies,Braves,Braves,-129,1.78,L,510,"1,027",0.4966,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
257,5/7/2024,Jays,Mariners,Mariners,-124,1.81,W,511,"1,028",0.4971,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.89
258,6/7/2024,Angels,Cubs,Cubs,-141,1.71,L,511,"1,029",0.4966,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
258,6/7/2024,Brewers,Dodgers,Dodgers,-104,1.96,W,512,"1,030",0.4971,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.06
258,6/7/2024,Mets,Pirates,Pirates,119,2.19,L,512,"1,031",0.4966,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
258,6/7/2024,Cardinals,Nationals,Cardinals,119,2.19,L,512,"1,032",0.4961,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
258,6/7/2024,Rays,Rangers,Rangers,-104,1.96,W,513,"1,033",0.4966,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.06
258,6/7/2024,Jays,Mariners,Mariners,-101,1.99,L,513,"1,034",0.4961,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
259,7/7/2024,Red Sox,Yankees,Yankees,-124,1.81,L,513,"1,035",0.4957,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
259,7/7/2024,Tigers,Reds,Reds,124,2.24,L,513,"1,036",0.4952,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
259,7/7/2024,Rays,Rangers,Rays,123,2.23,L,513,"1,037",0.4947,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
259,7/7/2024,Rays,Rangers,Rangers,-122,1.82,W,514,"1,038",0.4952,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.90
259,7/7/2024,Jays,Mariners,Mariners,-140,1.71,L,514,"1,039",0.4947,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
260,8/7/2024,Mets,Pirates,Pirates,-113,1.88,W,515,"1,040",0.4952,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.97
261,9/7/2024,Braves,Diamondbacks,Diamondbacks,107,2.07,L,515,"1,041",0.4947,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
261,9/7/2024,Guardians,Tigers,Tigers,125,2.25,L,515,"1,042",0.4942,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
261,9/7/2024,Dodgers,Phillies,Dodgers,140,2.4,L,515,"1,043",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
261,9/7/2024,Mariners,Padres,Padres,121,2.21,L,515,"1,044",0.4933,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
261,9/7/2024,Nationals,Mets,Mets,-128,1.78,W,516,"1,045",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.86
262,10/7/2024,Royals,Cardinals,Royals,129,2.29,W,517,"1,046",0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.42
262,10/7/2024,Dodgers,Phillies,Dodgers,127,2.27,L,517,"1,047",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
262,10/7/2024,Yankees,Rays,Yankees,111,2.11,W,518,"1,048",0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.22
262,10/7/2024,Pirates,Brewers,Pirates,147,2.47,L,518,"1,049",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
263,11/7/2024,Braves,Diamondbacks,Diamondbacks,105,2.05,W,519,"1,050",0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.16
263,11/7/2024,Pirates,Brewers,Brewers,108,2.08,L,519,"1,051",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
264,12/7/2024,Royals,Red Sox,Red Sox,100,2,L,519,"1,052",0.4933,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
264,12/7/2024,Dodgers,Tigers,Dodgers,134,2.34,W,520,"1,053",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.47
264,12/7/2024,Yankees,Orioles,Orioles,116,2.16,L,520,"1,054",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
265,13/07/2024,Cubs,Cardinals,Cardinals,-126,1.79,W,521,"1,055",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.87
266,14/07/2024,Cubs,Cardinals,Cardinals,-117,1.85,L,521,"1,056",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
267,19/07/2024,Diamonbacks,Cubs,Diamondbacks,132,2.32,W,522,"1,057",0.4939,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.45
267,19/07/2024,Red Sox,Dodgers,Dodgers,-120,1.83,W,523,"1,058",0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.91
267,19/07/2024,Astros,Mariners,Mariners,-104,1.96,L,523,"1,059",0.4939,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
267,19/07/2024,Angels,Athletics,Angels,108,2.08,L,523,"1,060",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
267,19/07/2024,Padres,Guardians,Padres,145,2.45,L,523,"1,061",0.4929,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
267,19/07/2024,Giants,Rockies,Rockies,121,2.21,W,524,"1,062",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.33
268,20/07/2024,Orioles,Rangers,Rangers,-103,1.97,L,524,"1,063",0.4929,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
268,20/07/2024,Tigers,Blue Jays,Tigers,126,2.26,W,525,"1,064",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.39
268,20/07/2024,Astros,Mariners,Mariners,-132,1.76,L,525,"1,065",0.493,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
268,20/07/2024,Brewers,Twins,Twins,-118,1.85,L,525,"1,066",0.4925,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
268,20/07/2024,Padres,Guardians,Padres,104,2.04,W,526,"1,067",0.493,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.14
268,20/07/2024,Giants,Rockies,Rockies,149,2.49,W,527,"1,068",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.64
268,20/07/2024,Cardinals,Braves,Braves,-123,1.81,W,528,"1,069",0.4939,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.89
269,21/07/2024,Red Sox,Dodgers,Dodgers,-110,1.91,W,529,"1,070",0.4944,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.00
269,21/07/2024,Reds,Nationals,Reds,-105,1.95,L,529,"1,071",0.4939,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
269,21/07/2024,Astros,Mariners,Mariners,-105,1.95,W,530,"1,072",0.4944,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.05
269,21/07/2024,Mets,Marlins,Marlins,127,2.27,W,531,"1,073",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.40
269,21/07/2024,Padres,Guardians,Guardians,-109,1.92,L,531,"1,074",0.4944,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
270,22/07/2024,Red Sox,Rockies,Rockies,149,2.49,W,532,"1,075",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.64
270,22/07/2024,Reds,Braves,Reds,128,2.28,W,533,"1,076",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.41
270,22/07/2024,Tigers,Guardians,Guardians,120,2.2,L,533,"1,077",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
270,22/07/2024,Astros,Athletics,Athletics,127,2.27,W,534,"1,078",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.40
270,22/07/2024,Brewers,Cubs,Cubs,113,2.13,W,535,"1,079",0.4958,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.24
270,22/07/2024,Phillies,Twins,Phillies,-107,1.93,L,535,"1,080",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
270,22/07/2024,Cardinals,Pirates,Cardinals,112,2.12,L,535,"1,081",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
271,23/07/2024,Diamonbacks,Royals,Diamondbacks,102,2.02,W,536,"1,082",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.12
271,23/07/2024,Brewers,Cubs,Cubs,-102,1.98,L,536,"1,083",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
271,23/07/2024,Mets,Yankees,Mets,138,2.38,W,537,"1,084",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.52
271,23/07/2024,Phillies,Twins,Twins,130,2.3,L,537,"1,085",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
271,23/07/2024,Padres,Nationals,Padres,101,2.01,W,538,"1,086",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.11
271,23/07/2024,Giants,Dodgers,Giants,136,2.36,L,538,"1,087",0.4949,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
272,24/07/2024,Diamonbacks,Royals,Diamondbacks,112,2.12,W,539,"1,088",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.23
272,24/07/2024,Red Sox,Rockies,Rockies,138,2.38,W,540,"1,089",0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.52
272,24/07/2024,Astros,Athletics,Athletics,138,2.38,L,540,"1,090",0.4954,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
272,24/07/2024,Angels,Mariners,Angels,148,2.48,W,541,"1,091",0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.63
272,24/07/2024,Mets,Yankees,Mets,152,2.52,W,542,"1,092",0.4963,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.67
272,24/07/2024,Padres,Nationals,Padres,101,2.01,W,543,"1,093",0.4968,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.11
272,24/07/2024,Rays,Jays,Rays,-109,1.92,L,543,"1,094",0.4963,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
273,25/07/2024,Braves,Mets,Mets,-103,1.97,W,544,"1,095",0.4968,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.07
273,25/07/2024,Rays,Jays,Rays,-100,2,W,545,"1,096",0.4973,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.10
274,26/07/2024,Dodgers,Astros,Dodgers,115,2.15,L,545,"1,097",0.4968,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
274,26/07/2024,Yankees,Red Sox,Red Sox,108,2.08,W,546,"1,098",0.4973,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.19
274,26/07/2024,Rangers,Blue Jays,Rangers,110,2.1,L,546,"1,099",0.4968,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
275,27/07/2024,Braves,Mets,Mets,-116,1.86,L,546,"1,100",0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
275,27/07/2024,Twins,Tigers,Tigers,104,2.04,W,547,"1,101",0.4968,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.14
275,27/07/2024,Yankees,Red Sox,Red Sox,-115,1.87,L,547,"1,102",0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
275,27/07/2024,Padres,Orioles,Orioles,105,2.05,L,547,"1,103",0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
275,27/07/2024,Rangers,Blue Jays,Rangers,121,2.21,L,547,"1,104",0.4955,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
276,28/07/2024,Braves,Mets,Mets,-111,1.9,L,547,"1,105",0.495,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
276,28/07/2024,Yankees,Red Sox,Red Sox,-102,1.98,L,547,"1,106",0.4946,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
276,28/07/2024,Padres,Orioles,Orioles,-128,1.78,W,548,"1,107",0.495,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.86
276,28/07/2024,Rangers,Blue Jays,Rangers,-116,1.86,L,548,"1,108",0.4946,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
276,28/07/2024,Rangers,Blue Jays,Blue Jays,120,2.2,W,549,"1,109",0.495,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.32
277,29/07/2024,Cubs,Reds,Reds,-103,1.97,W,550,"1,110",0.4955,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.07
277,29/07/2024,Twins,Mets,Mets,-109,1.92,W,551,"1,111",0.4959,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.01
277,29/07/2024,Yankees,Phillies,Yankees,125,2.25,W,552,"1,112",0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.38
277,29/07/2024,Mariners,Red Sox,Red Sox,-117,1.85,W,553,"1,113",0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.94
277,29/07/2024,Rangers,Cardinals,Cardinals,102,2.02,L,553,"1,114",0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
278,30/07/2024,Braves,Brewers,Braves,-101,1.99,W,554,"1,115",0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.09
278,30/07/2024,Rockies,Angels,Angels,-125,1.8,W,555,"1,116",0.4973,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.88
278,30/07/2024,Dodgers,Padres,Dodgers,-125,1.8,L,555,"1,117",0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
278,30/07/2024,Mariners,Red Sox,Red Sox,103,2.03,L,555,"1,118",0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
278,30/07/2024,Rangers,Cardinals,Cardinals,103,2.03,W,556,"1,119",0.4969,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.13
279,31/07/2024,Braves,Brewers,Brewers,105,2.05,L,556,"1,120",0.4964,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
279,31/07/2024,Twins,Mets,Mets,107,2.07,L,556,"1,121",0.496,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
279,31/07/2024,Mariners,Red Sox,Mariners,-105,1.95,L,556,"1,122",0.4955,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
280,1/8/2024,Orioles,Guardians,Orioles,100,2,L,556,"1,123",0.4951,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
280,1/8/2024,Cardinals,Cubs,Cardinals,106,2.06,L,556,"1,124",0.4947,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
281,2/8/2024,Orioles,Guardians,Orioles,-106,1.94,L,556,"1,125",0.4942,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
281,2/8/2024,Red Sox,Rangers,Rangers,-106,1.94,L,556,"1,126",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
281,2/8/2024,Royals,Tigers,Tigers,-111,1.9,L,556,"1,127",0.4933,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
281,2/8/2024,Brewers,Nationals,Brewers,-105,1.95,W,557,"1,128",0.4938,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.05
281,2/8/2024,Mets,Angels,Angels,122,2.22,L,557,"1,129",0.4934,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
281,2/8/2024,Giants,Reds,Reds,124,2.24,L,557,"1,130",0.4929,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
281,2/8/2024,Cardinals,Cubs,Cardinals,-105,1.95,L,557,"1,131",0.4925,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
282,3/8/2024,Diamonbacks,Pirates,Diamondbacks,108,2.08,L,557,"1,132",0.492,0.5025,0.5075,0.4975,0.4925,0.5,1.5,-1.50
282,3/8/2024,Brewers,Nationals,Nationals,109,2.09,W,558,"1,133",0.4925,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.64
282,3/8/2024,Mets,Angels,Angels,112,2.12,W,559,"1,134",0.4929,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.68
282,3/8/2024,Cardinals,Cubs,Cardinals,105,2.05,W,560,"1,135",0.4934,0.5025,0.5075,0.4975,0.4925,0.5,1.5,1.58
282,3/8/2024,Rays,Astros,Rays,133,2.33,W,561,"1,136",0.4938,0.5025,0.5075,0.4975,0.4925,0.5,1.5,2.00
283,4/8/2024,Diamonbacks,Pirates,Diamondbacks,137,2.37,W,562,"1,137",0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,1.51
283,4/8/2024,Orioles,Guardians,Orioles,-118,1.85,W,563,"1,138",0.4947,0.5025,0.5075,0.4975,0.4925,0.1,1.1,0.94
283,4/8/2024,Red Sox,Rangers,Red Sox,-118,1.85,L,563,"1,139",0.4943,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
283,4/8/2024,Brewers,Nationals,Brewers,-116,1.86,L,563,"1,140",0.4939,0.5025,0.5075,0.4975,0.4925,0.1,1.1,-1.10
